min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
4160,35912,6390.036666666667,5795.0,9728.599999999999,18323.999999999996,2421.27778118405,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
4064,40042,6097.891666666666,5557.5,9095.0,15873.769999999991,2212.8125462701432,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
4017,65905,6386.6325,5711.5,10006.54999999999,17171.82,2814.1950235861555,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
3772,34457,6210.092121717382,5425.0,11055.499999999998,20306.219999999998,2895.4362935467866,39.983333333333334,39.983333333333334,2399,target_rps40.00_iter01_rps39.98_lat.csv
3464,34394,5660.9425,5097.5,9159.3,15890.819999999982,2178.590677676836,40.0,40.0,2400,target_rps40.00_iter02_rps40.00_lat.csv
3294,40195,5922.707378074198,5422.0,9663.099999999999,14992.359999999997,2154.8060649159747,39.983333333333334,39.983333333333334,2399,target_rps40.00_iter03_rps39.98_lat.csv
3192,41743,5830.41388518024,5072.0,10548.59999999999,18286.479999999996,2865.71280626271,62.416666666666664,62.416666666666664,3745,target_rps60.00_iter01_rps62.42_lat.csv
3177,60947,5733.37997329773,5046.0,9686.399999999992,16500.119999999974,2627.0117800400944,62.416666666666664,62.416666666666664,3745,target_rps60.00_iter02_rps62.42_lat.csv
3225,38888,5828.823639274279,5230.0,9295.749999999995,17477.01999999999,2473.7908881251815,62.46666666666667,62.46666666666667,3748,target_rps60.00_iter03_rps62.47_lat.csv
3103,328927,5613.918679549114,4910.0,9223.849999999997,16556.66,5148.311844093276,82.8,82.8,4968,target_rps80.00_iter01_rps82.80_lat.csv
3199,81939,5547.56372745491,4890.5,8616.050000000003,17782.52999999996,3052.39478542654,83.16666666666667,83.16666666666667,4990,target_rps80.00_iter02_rps83.17_lat.csv
3026,44879,5611.580056179775,4937.0,9600.499999999995,17242.370000000003,2615.6523488191515,83.06666666666666,83.06666666666666,4984,target_rps80.00_iter03_rps83.07_lat.csv
2940,40090,5306.16856187291,4721.0,8503.100000000004,15880.42,2279.0175517135303,99.66666666666667,99.66666666666667,5980,target_rps100.00_iter01_rps99.67_lat.csv
2805,60447,5413.815230125523,4748.0,9159.7,16972.88000000001,2611.2460077787437,99.58333333333333,99.58333333333333,5975,target_rps100.00_iter02_rps99.58_lat.csv
3009,34394,5398.946058784235,4787.5,8916.999999999993,16760.62000000001,2304.4355769369363,99.8,99.8,5988,target_rps100.00_iter03_rps99.80_lat.csv
2923,52438,5695.415299811777,4831.0,10865.199999999997,19158.290000000008,3134.0460448443437,123.96666666666667,123.96666666666667,7438,target_rps120.00_iter01_rps123.96_lat.csv
2735,76625,5825.229217110573,4886.5,11074.199999999983,20876.03,3564.667721269894,123.9,123.9,7434,target_rps120.00_iter02_rps123.90_lat.csv
2763,94503,5496.293833131802,4801.0,9516.499999999998,17164.59999999999,2941.7307007675995,124.05,124.05,7443,target_rps120.00_iter03_rps124.05_lat.csv
3021,49770,5764.909262314401,4823.5,11485.5,19170.449999999975,3104.2395144404422,141.43333333333334,141.43333333333334,8486,target_rps140.00_iter01_rps141.42_lat.csv
2912,51690,5585.199644970414,4757.0,10333.649999999998,19169.790000000008,2988.5490900193513,140.83333333333334,140.83333333333334,8450,target_rps140.00_iter02_rps140.83_lat.csv
2813,50085,5327.105857445307,4636.5,9250.249999999996,16985.839999999975,2476.688163187306,141.7,141.7,8502,target_rps140.00_iter03_rps141.70_lat.csv
2826,85376,5434.638663967611,4598.0,9911.0,18141.249999999978,3411.9858022536378,164.66666666666666,164.66666666666666,9880,target_rps160.00_iter01_rps164.67_lat.csv
