target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,40.00,40.00,40.00,40.00,40.00,40.00,100.0
60.00,62.43,62.47,62.45,62.45,62.43,62.47,104.1
80.00,83.17,83.10,83.15,83.14,83.10,83.17,103.9
100.00,99.80,99.60,99.55,99.65,99.55,99.80,99.6
120.00,124.03,123.97,123.77,123.92,123.77,124.03,103.3
140.00,141.68,141.29,141.55,141.51,141.29,141.68,101.1
160.00,164.37,164.57,163.95,164.30,163.95,164.57,102.7
180.00,196.57,196.13,195.36,196.02,195.36,196.57,108.9
200.00,196.00,195.36,197.26,196.21,195.36,197.26,98.1
220.00,244.10,242.53,242.33,242.99,242.33,244.10,110.4
240.00,243.03,243.35,241.15,242.51,241.15,243.35,101.0
260.00,315.93,318.91,318.22,317.69,315.93,318.91,122.2
280.00,318.23,318.55,319.13,318.64,318.23,319.13,113.8
300.00,319.47,320.50,318.03,319.33,318.03,320.50,106.4
320.00,319.13,317.43,317.42,317.99,317.42,319.13,99.4
340.00,407.83,410.65,404.32,407.60,404.32,410.65,119.9
360.00,411.26,404.28,406.48,407.34,404.28,411.26,113.1
380.00,413.96,409.98,407.36,410.43,407.36,413.96,108.0
400.00,410.49,407.63,408.51,408.88,407.63,410.49,102.2
420.00,416.37,407.34,409.38,411.03,407.34,416.37,97.9
440.00,404.10,406.37,408.38,406.28,404.10,408.38,92.3
460.00,410.58,410.18,396.21,405.66,396.21,410.58,88.2
480.00,413.10,400.41,410.24,407.92,400.41,413.10,85.0
500.00,411.60,403.76,410.98,408.78,403.76,411.60,81.8

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,416.37,420.00
Max Iter2,410.65,340.00
Max Iter3,410.98,500.00
Overall Max,416.37,420.00
Avg of Max,412.67,
