min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
5849,77563,20443.615833333333,20840.5,34316.2,42006.92,7857.168554887694,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
5019,106107,23267.134166666667,23053.0,36792.69999999999,45899.46999999998,8707.800944143857,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
5195,70722,24729.685833333333,23812.5,38137.45,47370.67,7795.458007207315,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
4946,89534,23858.87375,23422.0,42802.39999999999,54728.61999999975,11119.918287933186,40.0,40.0,2400,target_rps40.00_iter01_rps40.00_lat.csv
3859,86049,22239.57125,22968.0,41654.6,53253.529999999984,11509.955054390532,40.0,40.0,2400,target_rps40.00_iter02_rps40.00_lat.csv
4048,125774,23986.361551292743,23059.5,44008.600000000006,64495.460000000094,12507.15866239457,39.96666666666667,39.96666666666667,2398,target_rps40.00_iter03_rps39.97_lat.csv
3989,88404,21622.228182546038,21678.0,44752.79999999999,59018.53999999998,13012.254479792957,62.45,62.45,3747,target_rps60.00_iter01_rps62.45_lat.csv
4164,106357,24263.327811915577,23650.0,45690.599999999984,61460.47999999997,12346.567456135785,62.38333333333333,62.38333333333333,3743,target_rps60.00_iter02_rps62.38_lat.csv
3405,173922,20648.999732834625,20493.0,44827.2,65506.39999999995,15100.912070790851,62.38333333333333,62.38333333333333,3743,target_rps60.00_iter03_rps62.38_lat.csv
3561,155060,27448.98013245033,25681.0,56901.69999999999,78304.66000000003,16234.634864147456,83.05,83.05,4983,target_rps80.00_iter01_rps83.05_lat.csv
3656,131907,23297.769895498393,21395.5,53019.75,70091.0,15941.65551294704,82.93333333333334,82.93333333333334,4976,target_rps80.00_iter02_rps82.93_lat.csv
3721,136266,24997.823836276082,22983.0,54797.999999999985,78743.59,16670.98398818424,83.06666666666666,83.06666666666666,4984,target_rps80.00_iter03_rps83.07_lat.csv
3878,141882,27850.454805107525,24356.0,65350.49999999999,93980.69999999997,20024.460197675915,99.2,99.2,5952,target_rps100.00_iter01_rps99.20_lat.csv
3606,240438,31962.550900218746,25697.0,88116.69999999995,141175.21999999997,28266.658439155715,99.05,99.05,5943,target_rps100.00_iter02_rps99.05_lat.csv
3520,407725,29264.38875838926,24113.0,66546.20000000001,173556.18999999986,32074.920013784063,99.33333333333333,99.33333333333333,5960,target_rps100.00_iter03_rps99.33_lat.csv
4217,3073270,324922.9111651141,104467.0,1258566.5999999999,1958318.2799999984,433530.7093638567,123.45,123.45,7407,target_rps120.00_iter01_rps123.45_lat.csv
3400,925978,127103.23076923077,75364.0,408812.5,572439.7000000003,136487.57539759253,122.85,122.85,7371,target_rps120.00_iter02_rps122.85_lat.csv
3878,1087987,190386.23648648648,99423.0,659970.499999999,919685.9700000006,216542.58167499007,123.33333333333333,123.33333333333333,7400,target_rps120.00_iter03_rps123.33_lat.csv
6303,8706704,2341702.657797109,2481635.0,4341173.999999999,5120986.04,1356386.0208737846,130.28333333333333,130.28333333333333,7817,target_rps140.00_iter01_rps130.28_lat.csv
5822,12249216,3075030.866252971,3733232.5,6885554.4,7205897.1899999995,2108031.8873021863,126.23333333333333,126.23333333333333,7574,target_rps140.00_iter02_rps126.23_lat.csv
4836,9826237,1763505.1578677602,1602826.5,4558279.749999999,5628146.940000001,1302818.5417727784,130.06666666666666,130.06666666666666,7804,target_rps140.00_iter03_rps130.07_lat.csv
7316,28040529,7513784.819463269,8127636.5,14097016.6,16833451.549999993,4055796.2553649982,122.96666666666667,122.96666666666667,7378,target_rps160.00_iter01_rps122.97_lat.csv
8534,23414284,6420566.933618566,6550577.0,12555570.2,14994500.4,3716314.2712145587,128.55,128.55,7713,target_rps160.00_iter02_rps128.55_lat.csv
7044,22538785,6097329.641692955,5687583.0,12819555.5,12955091.780000001,3953786.5925655193,126.8,126.8,7608,target_rps160.00_iter03_rps126.80_lat.csv
6869,30007299,9908980.219440354,9139868.0,21270336.599999998,22356439.28,6289106.633999889,124.48333333333333,124.48333333333333,7469,target_rps180.00_iter01_rps124.33_lat.csv
9084,30120249,10024809.136495389,10241578.0,19285129.94999999,23218320.779999997,6257262.031195441,126.5,126.5,7590,target_rps180.00_iter02_rps126.33_lat.csv
7571,30014833,10480507.071918748,10794798.5,22206282.25,23390177.7,6507138.637716826,121.43333333333334,121.43333333333334,7286,target_rps180.00_iter03_rps121.10_lat.csv
7899,30019846,10303029.060035234,10133752.0,20633556.7,21647573.36,6516209.330046909,122.98333333333333,122.98333333333333,7379,target_rps200.00_iter01_rps122.75_lat.csv
10988,30011521,10870840.103571922,10812583.0,21586019.0,23786254.5,6423849.841483114,120.85,120.85,7251,target_rps200.00_iter02_rps120.53_lat.csv
8065,30013889,10545404.214442013,10457776.5,21925385.7,22805578.03,6822791.7742541535,121.86666666666666,121.86666666666666,7312,target_rps200.00_iter03_rps121.57_lat.csv
7051,30046584,16422787.293836866,16045298.0,30000939.1,30005034.36,9284521.75901937,118.71666666666667,118.71666666666667,7123,target_rps220.00_iter01_rps112.17_lat.csv
8759,30033906,14537903.527882542,13927243.5,29155399.29999999,30004095.02,8728175.251739293,123.73333333333333,123.73333333333333,7424,target_rps220.00_iter02_rps121.00_lat.csv
9097,30023365,14119885.688639741,13712275.0,26779444.2,29404944.139999982,8084952.028399269,123.38333333333334,123.38333333333334,7403,target_rps220.00_iter03_rps122.66_lat.csv
7759,30040368,14902986.890643664,14210391.0,30002357.4,30010717.3,8632672.738114715,125.58333333333333,125.58333333333333,7535,target_rps240.00_iter01_rps117.77_lat.csv
6804,30021424,14245263.094813615,14163193.0,28241538.0,30004156.22,8567287.410837837,123.4,123.4,7404,target_rps240.00_iter02_rps119.92_lat.csv
7284,30025360,14243840.605596911,13840357.5,27750450.8,28894162.88,8457153.837695073,120.9,120.9,7254,target_rps240.00_iter03_rps120.07_lat.csv
8948,30295113,19734735.279710457,22631723.5,30013417.0,30036812.3,10566069.089336472,154.26666666666668,154.26666666666668,9256,target_rps260.00_iter01_rps105.43_lat.csv
9738,30238873,19625185.05,22379451.5,30011902.05,30045472.46,10394841.776504755,151.33333333333334,151.33333333333334,9080,target_rps260.00_iter02_rps107.27_lat.csv
8638,30058410,19250222.5090075,21078325.0,30010365.4,30022175.12,10374948.603100637,148.95,148.95,8937,target_rps260.00_iter03_rps105.00_lat.csv
9346,30339754,19423404.213940725,22147987.0,30012743.1,30042797.97,10631845.264611615,151.83333333333334,151.83333333333334,9110,target_rps280.00_iter01_rps104.38_lat.csv
8102,30068337,19838234.28593123,22398178.0,30008579.0,30019981.84,10278004.492114875,153.65,153.65,9219,target_rps280.00_iter02_rps108.03_lat.csv
9281,30195062,20227954.367131714,23903682.0,30016824.6,30043501.4,10448993.344069364,151.71666666666667,151.71666666666667,9103,target_rps280.00_iter03_rps97.88_lat.csv
9295,30104139,19947605.79563644,23163233.0,30011267.0,30025145.2,10568329.927693028,152.01666666666668,152.01666666666668,9121,target_rps300.00_iter01_rps103.33_lat.csv
5345,30098563,19845110.030004334,23013619.5,30011322.25,30026074.92,10400083.790596602,153.86666666666667,153.86666666666667,9232,target_rps300.00_iter02_rps103.31_lat.csv
6017,30143942,20177691.59733276,22853416.0,30011908.05,30030140.9,10363563.365092559,154.96666666666667,154.96666666666667,9298,target_rps300.00_iter03_rps103.02_lat.csv
7359,30153092,19271983.781084657,21648882.0,30008807.9,30020767.78,10473614.42650809,151.2,151.2,9072,target_rps320.00_iter01_rps105.22_lat.csv
9238,30073660,19806023.623191584,22465787.5,30009657.8,30020086.51,10481328.112933682,152.06666666666666,152.06666666666666,9124,target_rps320.00_iter02_rps104.87_lat.csv
6403,30087463,19453106.22808722,21558881.5,30008353.0,30018385.54,10424198.500742929,154.4,154.4,9264,target_rps320.00_iter03_rps110.85_lat.csv
3711,33802365,18330317.247214653,19852414.0,30179318.2,32775938.200000007,10290554.132350646,348.55,348.55,20913,target_rps340.00_iter01_rps97.75_lat.csv
8674,30564301,23118248.82299546,30001959.0,30024767.6,30147076.78,10125082.635970868,209.31666666666666,209.31666666666666,12559,target_rps340.00_iter02_rps96.10_lat.csv
1318,30288994,15668912.08270387,13766603.5,30021454.0,30049715.58,12282409.488173952,216.23333333333332,216.23333333333332,12974,target_rps340.00_iter03_rps102.21_lat.csv
