target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,40.00,40.00,39.98,39.99,39.98,40.00,100.0
60.00,62.33,62.33,62.37,62.34,62.33,62.37,103.9
80.00,82.87,82.79,82.77,82.81,82.77,82.87,103.5
100.00,98.80,98.98,99.22,99.00,98.80,99.22,99.0
120.00,120.94,122.88,122.52,122.11,120.94,122.88,101.8
140.00,127.75,127.13,126.67,127.18,126.67,127.75,90.8
160.00,128.40,119.55,125.30,124.42,119.55,128.40,77.8
180.00,126.65,124.23,117.28,122.72,117.28,126.65,68.2
200.00,120.60,121.21,123.06,121.62,120.60,123.06,60.8
220.00,121.35,110.94,113.08,115.12,110.94,121.35,52.3
240.00,107.80,108.90,109.15,108.62,107.80,109.15,45.3
260.00,96.23,98.83,95.23,96.76,95.23,98.83,37.2
280.00,98.50,101.99,104.25,101.58,98.50,104.25,36.3
300.00,96.60,99.88,96.98,97.82,96.60,99.88,32.6
320.00,95.38,98.58,102.35,98.77,95.38,102.35,30.9
340.00,98.03,92.73,89.77,93.51,89.77,98.03,27.5
360.00,91.24,88.83,94.71,91.59,88.83,94.71,25.4
380.00,87.82,87.98,91.56,89.12,87.82,91.56,23.5
400.00,93.21,88.58,103.48,95.09,88.58,103.48,23.8
420.00,91.33,95.25,87.36,91.31,87.36,95.25,21.7
440.00,79.88,86.30,87.48,84.55,79.88,87.48,19.2
460.00,85.28,91.28,86.99,87.85,85.28,91.28,19.1
480.00,92.45,88.42,90.40,90.42,88.42,92.45,18.8
500.00,85.38,97.61,87.23,90.07,85.38,97.61,18.0

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,128.40,160.00
Max Iter2,127.13,140.00
Max Iter3,126.67,140.00
Overall Max,128.40,160.00
Avg of Max,127.40,
