rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_nodejs_a4,3,1200.0,0.0,1200,1200,5593.0,438.4734883661725,5110,5966,312904.6666666667,95264.23180466704,202994,371734,24039.805277777778,2407.784040554476,21265.77666666667,25588.058333333334,22339.0,1398.931020458121,20727.0,23235.0,36929.816666666666,1301.1188707544495,35492.1,38026.35,63674.15999999995,14984.073294708574,46820.7,75491.03999999989,20.0,0.0,20.0,20.0,1200.0,5593.0,312904.6666666667,24039.805277777778,22339.0,36929.816666666666,63674.15999999995,20.0
40,60,fibonacci_nodejs_a4,3,2399.6666666666665,0.5773502691896258,2399,2400,4259.0,354.7971251292772,4034,4668,145609.0,63259.41031182634,72820,187302,24659.2259220277,1755.2674329622298,23179.47333333333,26598.565833333334,23721.333333333332,811.6134137219107,23154.0,24651.0,43779.04999999998,3025.2419006585355,41460.34999999996,47201.09999999999,59222.536666666325,8735.970030627652,52990.439999999915,69207.92999999906,39.99444444444445,0.009622504486493216,39.983333333333334,40.0,2399.6666666666665,4259.0,145609.0,24659.2259220277,23721.333333333332,43779.04999999998,59222.536666666325,39.99444444444445
60,60,fibonacci_nodejs_a4,3,3740.6666666666665,1.1547005383792517,3740,3742,4088.6666666666665,184.5652549461391,3913,4281,316683.0,294317.1037894332,136492,656320,26966.39849918686,5296.032720325497,22696.419561731695,32892.617647058825,23929.333333333332,1610.6404264556795,22350.5,25570.0,52695.449999999975,6060.158006809711,46677.549999999996,58796.99999999997,154153.5166666667,149252.03248011277,63849.49000000002,326427.74000000005,62.34444444444444,0.019245008972986432,62.333333333333336,62.36666666666667,3740.6666666666665,4088.6666666666665,316683.0,26966.39849918686,23929.333333333332,52695.449999999975,154153.5166666667,62.34444444444444
80,60,fibonacci_nodejs_a4,3,4968.666666666667,3.055050463303893,4966,4972,3707.3333333333335,267.0755199065113,3420,3948,630868.0,368901.37238969444,210083,898647,35841.541916179944,7386.247907702819,27502.854871175525,41562.13716814159,25183.333333333332,2446.8584109697345,23177.5,27909.5,73723.06666666667,10026.617777363077,62699.6,82300.0,362604.04333333316,232296.21232025203,94389.37999999989,499394.84999999945,82.81111111111112,0.05091750772172866,82.76666666666667,82.86666666666666,4968.666666666667,3707.3333333333335,630868.0,35841.541916179944,25183.333333333332,73723.06666666667,362604.04333333316,82.81111111111112
100,60,fibonacci_nodejs_a4,3,5940.0,12.529964086141668,5928,5953,3735.3333333333335,499.2297400329164,3290,4275,514802.3333333333,259628.30178994997,215770,682801,41980.46701933765,5620.476126748177,35634.868664758375,46332.158911473205,29112.666666666668,2105.044496758521,26684.0,30413.0,112359.23333333326,26252.397330593067,84357.79999999997,136416.19999999984,374499.9233333329,211309.5132435009,133587.13999999996,528459.7999999992,99.0,0.2088327347690301,98.8,99.21666666666667,5940.0,3735.3333333333335,514802.3333333333,41980.46701933765,29112.666666666668,112359.23333333326,374499.9233333329,99.0
120,60,fibonacci_nodejs_a4,3,7327.0,61.61168720299745,7257,7373,4079.3333333333335,256.5352477406045,3853,4358,2245478.0,274547.8509185603,1932540,2445866,357892.13959289837,181870.47271298055,215027.59978234253,562625.4270988742,250850.66666666666,217839.26540532892,80221.0,496222.0,1050674.0666666667,174827.7276626718,856260.7999999999,1194969.4,1595093.5666666664,367251.7054405103,1264269.5,1990267.2,122.11666666666667,1.0268614533832916,120.95,122.88333333333334,7327.0,4079.3333333333335,2245478.0,357892.13959289837,250850.66666666666,1050674.0666666667,1595093.5666666664,122.11666666666667
140,60,fibonacci_nodejs_a4,3,7631.333333333333,32.129944496269104,7601,7665,7058.0,2015.0183621992132,4956,8973,10067157.0,568365.2357032404,9476773,10610591,2637727.3490795023,352079.9475865648,2240117.333985649,2909948.9515853175,2403052.1666666665,417975.4457322623,1920579.0,2655161.0,5105018.600000001,396216.1763153043,4656249.399999999,5406487.0,5575489.713333334,429156.4546612141,5079986.6,5828965.0,127.18888888888888,0.5354990749378162,126.68333333333334,127.75,7631.333333333333,7058.0,10067157.0,2637727.3490795023,2403052.1666666665,5105018.600000001,5575489.713333334,127.18888888888888
160,60,fibonacci_nodejs_a4,3,7465.333333333333,268.8965104521316,7174,7704,7991.0,1113.8976613675063,7055,9223,25459441.666666668,4355281.2045607725,21070934,29780718,6737527.962271612,1244271.4223080347,5564480.372533749,8042509.053387232,6597134.666666667,1570282.4723682944,4837990.5,7857293.0,13671467.516666666,2443951.855444595,11518802.75,16328124.7,14524207.97,1944756.3861673465,12894019.990000002,16676815.61,124.42222222222222,4.481608507535531,119.56666666666666,128.4,7465.333333333333,7991.0,25459441.666666668,6737527.962271612,6597134.666666667,13671467.516666666,14524207.97,124.42222222222222
180,60,fibonacci_nodejs_a4,3,7375.0,293.2865492994863,7047,7612,5753.666666666667,599.1296465151206,5286,6429,30013982.666666668,3320.219922434858,30010199,30016410,10205418.306237422,604805.580987821,9678115.903047819,10865622.054775082,9966711.666666666,952784.7093946949,8985704.0,10888512.0,20142005.45,1227751.3933544992,18920542.999999996,21375950.6,22721577.48666667,1462429.5460741601,21163284.740000002,24064189.0,122.91666666666667,4.888109154991435,117.45,126.86666666666666,7375.0,5753.666666666667,30013982.666666668,10205418.306237422,9966711.666666666,20142005.45,22721577.48666667,122.91666666666667
200,60,fibonacci_nodejs_a4,3,7312.333333333333,76.00219295081777,7253,7398,8402.333333333334,403.7899619026374,8128,8866,30024827.666666668,9722.845125442107,30015729,30035073,10722294.18969124,852821.3474525575,9743187.158286024,11303041.545429477,10947593.833333334,1051827.178097278,9757409.5,11752296.0,20921107.033333328,1196560.2680563803,20004680.25,22274796.8,22791715.256666664,966286.2041491752,22008695.15,23871606.499999996,121.87222222222222,1.2667032158469578,120.88333333333334,123.3,7312.333333333333,8402.333333333334,30024827.666666668,10722294.18969124,10947593.833333334,20921107.033333328,22791715.256666664,121.87222222222222
