target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,19.98,19.93,19.96,19.96,19.93,19.98,99.8
40.00,39.77,39.82,39.88,39.82,39.77,39.88,99.6
60.00,61.85,61.95,62.17,61.99,61.85,62.17,103.3
80.00,81.82,82.18,81.86,81.95,81.82,82.18,102.4
100.00,97.00,97.25,96.72,96.99,96.72,97.25,97.0
120.00,118.45,118.52,118.87,118.61,118.45,118.87,98.8
140.00,134.83,131.99,133.13,133.32,131.99,134.83,95.2
160.00,151.83,152.25,149.78,151.29,149.78,152.25,94.6
180.00,175.38,171.50,170.44,172.44,170.44,175.38,95.8
200.00,175.27,169.45,168.93,171.22,168.93,175.27,85.6
220.00,200.56,208.31,199.05,202.64,199.05,208.31,92.1
240.00,198.46,202.35,198.05,199.62,198.05,202.35,83.2
260.00,238.10,238.09,237.26,237.82,237.26,238.10,91.5
280.00,229.95,233.77,236.36,233.36,229.95,236.36,83.3
300.00,252.58,233.60,232.57,239.58,232.57,252.58,79.9
320.00,246.89,243.13,241.15,243.72,241.15,246.89,76.2
340.00,291.95,285.20,283.57,286.91,283.57,291.95,84.4
360.00,298.05,293.32,284.01,291.79,284.01,298.05,81.1
380.00,287.78,288.83,279.27,285.29,279.27,288.83,75.1
400.00,287.69,286.55,278.86,284.37,278.86,287.69,71.1
420.00,289.44,284.80,292.10,288.78,284.80,292.10,68.8
440.00,286.85,287.18,285.88,286.64,285.88,287.18,65.1
460.00,290.70,302.08,297.01,296.60,290.70,302.08,64.5
480.00,290.18,285.41,282.92,286.17,282.92,290.18,59.6
500.00,288.46,287.09,285.52,287.02,285.52,288.46,57.4

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,298.05,360.00
Max Iter2,302.08,460.00
Max Iter3,297.01,460.00
Overall Max,302.08,460.00
Avg of Max,299.05,
