rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_nodejs_b4,3,1198.6666666666667,1.5275252316519465,1197,1200,6157.0,1135.5179434953902,4848,6877,213450.66666666666,96839.68959746479,109448,301026,28731.22394945117,1523.6161093605067,27004.012510425353,29884.590833333332,25826.833333333332,2420.897268232036,23079.0,27645.5,46233.18333333333,1473.6751748039067,45136.59999999999,47908.34999999999,98748.65333333316,27330.462477150348,68156.68,120756.75999999953,19.977777777777778,0.025458753860866268,19.95,20.0,1198.6666666666667,6157.0,213450.66666666666,28731.22394945117,25826.833333333332,46233.18333333333,98748.65333333316,19.977777777777778
40,60,fibonacci_nodejs_b4,3,2388.0,2.0,2386,2390,6258.0,677.4297011498684,5513,6837,322310.6666666667,175663.58818586546,128775,471668,29789.56993998954,1544.7487345972302,28801.687866108787,31569.712908633697,26838.0,1387.0494764066636,25625.5,28350.5,60049.283333333326,1769.1274306373205,58526.09999999995,61989.75,89205.38666666672,2992.3835696035535,87234.13,92648.65000000005,39.8,0.03333333333333499,39.766666666666666,39.833333333333336,2388.0,6258.0,322310.6666666667,29789.56993998954,26838.0,60049.283333333326,89205.38666666672,39.8
60,60,fibonacci_nodejs_b4,3,3700.3333333333335,10.016652800877813,3689,3708,5740.0,356.19657494142194,5334,6000,341188.6666666667,215287.80285546446,159997,579182,33534.73916608796,523.703450989416,33200.28563714903,34138.28110599078,28496.166666666668,715.1339618094873,27695.0,29070.0,73808.66666666666,1823.582621060351,72384.4,75863.95,107064.43666666659,1877.4170305058333,105932.11999999995,109231.55999999992,61.67222222222222,0.16694421334796208,61.483333333333334,61.8,3700.3333333333335,5740.0,341188.6666666667,33534.73916608796,28496.166666666668,73808.66666666666,107064.43666666659,61.67222222222222
80,60,fibonacci_nodejs_b4,3,4875.666666666667,12.662279942148386,4866,4890,5531.0,137.0656776877421,5444,5689,372394.3333333333,165852.33577291982,184095,496785,37062.543273588264,2797.4183391481956,33911.09406952965,39252.12885326757,31543.333333333332,2807.3358070122877,28666.0,34275.0,82197.51666666666,6117.701200273948,75292.05,86939.5,116828.07666666705,14776.967933802891,104100.52999999996,133033.90000000046,81.2611111111111,0.21103799903580792,81.1,81.5,4875.666666666667,5531.0,372394.3333333333,37062.543273588264,31543.333333333332,82197.51666666666,116828.07666666705,81.2611111111111
100,60,fibonacci_nodejs_b4,3,5776.666666666667,21.501937897160182,5753,5795,5772.333333333333,128.1886630452683,5629,5876,346222.0,200664.78154623945,201646,575321,40270.127624960274,1948.7879797311705,38579.46350301985,42401.54510690075,34639.5,1976.1478310086015,33239.5,36900.0,87722.79999999997,4520.724318071131,82598.20000000001,91145.79999999993,125522.09666666655,9751.42261957866,115293.72000000004,134713.71999999974,96.27777777777777,0.35836563161932994,95.88333333333334,96.58333333333333,5776.666666666667,5772.333333333333,346222.0,40270.127624960274,34639.5,87722.79999999997,125522.09666666655,96.27777777777777
120,60,fibonacci_nodejs_b4,3,7033.333333333333,46.608296829355744,7003,7087,6503.333333333333,751.1520041465199,5994,7366,364367.6666666667,93064.61652708474,262631,445207,46715.989032642276,2647.934633259572,43930.30478340624,49200.40354133942,40187.333333333336,2589.3899538951896,37511.0,42680.0,101493.91666666667,5002.510970586007,95890.49999999999,105510.69999999998,145909.64666666664,9176.70295215729,135435.32000000004,152535.4199999999,117.22222222222223,0.776804947155926,116.71666666666667,118.11666666666666,7033.333333333333,6503.333333333333,364367.6666666667,46715.989032642276,40187.333333333336,101493.91666666667,145909.64666666664,117.22222222222223
140,60,fibonacci_nodejs_b4,3,7916.333333333333,99.80647941558371,7849,8031,5543.666666666667,296.5406099227108,5250,5843,595590.3333333334,50373.72593260631,566227,653756,49972.05428053051,4998.035802002448,45883.41903427188,55543.7871394078,42538.666666666664,4340.697908554952,38817.0,47307.0,110070.03333333333,13447.498124310467,99320.59999999996,125148.99999999999,165965.21999999983,26074.013354656476,149478.27999999953,196025.8799999999,131.9388888888889,1.6634413235930585,130.81666666666666,133.85,7916.333333333333,5543.666666666667,595590.3333333334,49972.05428053051,42538.666666666664,110070.03333333333,165965.21999999983,131.9388888888889
160,60,fibonacci_nodejs_b4,3,8820.333333333334,90.00185183280027,8745,8920,5994.0,355.8187740971519,5593,6272,522017.6666666667,88889.92142157251,430040,607459,58164.07480494226,2345.007200384303,55486.96020179372,59854.55798090041,50915.5,2569.3288520545593,47952.0,52518.5,124642.61666666665,2335.885551741217,122893.19999999998,127295.25,177359.9399999998,4839.5089114082775,172080.93999999986,181586.87999999995,147.00555555555556,1.50003086388,145.75,148.66666666666666,8820.333333333334,5994.0,522017.6666666667,58164.07480494226,50915.5,124642.61666666665,177359.9399999998,147.00555555555556
180,60,fibonacci_nodejs_b4,3,10101.333333333334,111.88088904425693,10016,10228,6162.333333333333,520.8726651815522,5679,6714,634175.0,161478.93439083625,493843,810669,70756.5017096984,1447.717731521214,69170.07198482429,72006.1343371138,60302.333333333336,1117.408199063052,59013.5,60999.5,160249.79999999993,11821.950545066537,146906.5,169416.59999999995,232187.56333333335,22380.391360845937,206590.20000000016,248062.46999999988,168.35555555555558,1.8646814840709505,166.93333333333334,170.46666666666667,10101.333333333334,6162.333333333333,634175.0,70756.5017096984,60302.333333333336,160249.79999999993,232187.56333333335,168.35555555555558
200,60,fibonacci_nodejs_b4,3,10045.0,132.4348896628075,9898,10155,6204.666666666667,665.4655012345369,5723,6964,599955.6666666666,57205.007615883886,557555,665020,70038.10924476654,4754.7017361526305,65712.04716888233,75128.78076379067,59668.833333333336,3982.8207445645016,56946.0,64240.0,154394.2833333333,9595.008942196626,144598.49999999997,163775.04999999996,239477.39666666705,32025.554863725232,204320.23999999964,266986.5800000009,167.41666666666666,2.2072481610467904,164.96666666666667,169.25,10045.0,6204.666666666667,599955.6666666666,70038.10924476654,59668.833333333336,154394.2833333333,239477.39666666705,167.41666666666666
