min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
6584,402909,24549.963333333333,21561.5,38475.54999999999,59228.73999999987,27982.894408435586,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
6264,315428,24622.954166666666,23455.5,38828.049999999996,54079.86999999997,13104.377879563735,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
6393,108707,22592.490833333333,22529.5,41153.75,63277.53,11379.797910621375,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
5851,138312,29201.51482254697,26680.0,58197.799999999996,80023.12,16415.724272186995,39.916666666666664,39.916666666666664,2395,target_rps40.00_iter01_rps39.92_lat.csv
5534,148352,22784.135338345866,19442.0,48235.74999999998,69399.97000000002,14226.477814304504,39.9,39.9,2394,target_rps40.00_iter02_rps39.90_lat.csv
5283,152155,29038.288758880066,27051.0,57187.4,78411.23999999999,15955.227579402219,39.88333333333333,39.88333333333333,2393,target_rps40.00_iter03_rps39.88_lat.csv
5573,209415,29038.845452106252,22568.0,68019.59999999999,100325.89999999995,20516.453813502023,62.11666666666667,62.11666666666667,3727,target_rps60.00_iter01_rps62.11_lat.csv
5244,284384,32082.951317912855,27725.0,68290.6,94347.19999999998,20342.281272621454,61.96666666666667,61.96666666666667,3718,target_rps60.00_iter02_rps61.97_lat.csv
5834,512449,35255.33208255159,31264.0,76161.5,102256.29999999999,22729.303901507967,62.18333333333333,62.18333333333333,3731,target_rps60.00_iter03_rps62.18_lat.csv
5534,554426,33607.54431657581,28388.0,73587.39999999997,104484.99999999988,24623.556887881274,82.55,82.55,4953,target_rps80.00_iter01_rps82.55_lat.csv
5410,256211,32274.763643741124,27424.0,72153.0,104173.12000000013,21875.29087534236,82.15,82.15,4929,target_rps80.00_iter02_rps82.15_lat.csv
5976,207655,33596.18150615788,28237.0,76199.19999999995,107785.63999999972,22622.61375367167,82.55,82.55,4953,target_rps80.00_iter03_rps82.55_lat.csv
5158,566118,36241.58287764867,29894.0,81923.59999999999,133866.47999999986,27678.34464350883,97.53333333333333,97.53333333333333,5852,target_rps100.00_iter01_rps97.53_lat.csv
6493,597070,36841.575674752305,31075.0,79376.45,114757.86000000006,25129.38376331336,97.56666666666666,97.56666666666666,5854,target_rps100.00_iter02_rps97.57_lat.csv
5136,185805,38078.47527612574,32582.0,86146.40000000002,120090.03999999996,25198.27991111269,98.08333333333333,98.08333333333333,5885,target_rps100.00_iter03_rps98.08_lat.csv
5591,419605,39787.813064628215,32672.0,92531.49999999997,130890.03999999978,27985.789994670362,119.91666666666667,119.91666666666667,7195,target_rps120.00_iter01_rps119.92_lat.csv
6378,406122,46508.9450838996,38600.0,106143.5,167155.1999999999,33565.37027054006,120.18333333333334,120.18333333333334,7211,target_rps120.00_iter02_rps120.18_lat.csv
6206,510511,41882.288400387115,34951.0,96981.0,144271.44000000018,30187.252697962238,120.55,120.55,7233,target_rps120.00_iter03_rps120.55_lat.csv
5697,503795,45373.17865400998,37463.0,106469.79999999999,162274.56000000006,33185.29944390901,136.95,136.95,8217,target_rps140.00_iter01_rps136.95_lat.csv
6540,739655,50434.25641652408,43440.0,110901.49999999999,158689.27999999988,36271.50391474154,136.36666666666667,136.36666666666667,8182,target_rps140.00_iter02_rps136.37_lat.csv
5981,268924,50091.54182879377,42719.5,112781.54999999994,157087.31,31836.66751018986,137.06666666666666,137.06666666666666,8224,target_rps140.00_iter03_rps137.07_lat.csv
5242,361600,47796.32866470093,40281.5,109775.25,154691.89999999994,31984.36618391782,158.26666666666668,158.26666666666668,9496,target_rps160.00_iter01_rps158.26_lat.csv
6511,1009865,54987.440290648694,45279.5,120822.0,190120.74999999927,47805.49884862157,158.26666666666668,158.26666666666668,9496,target_rps160.00_iter02_rps158.26_lat.csv
6125,771936,54117.59012372014,45077.5,121564.75,188729.0,40561.36462618716,156.26666666666668,156.26666666666668,9376,target_rps160.00_iter03_rps156.27_lat.csv
7059,349193,68668.53247343082,59319.0,155386.0,212676.84000000005,44450.52744181184,183.48333333333332,183.48333333333332,11009,target_rps180.00_iter01_rps183.48_lat.csv
5747,517753,68429.23733809736,59069.0,146802.39999999997,227952.53999999963,47265.76025118406,186.58333333333334,186.58333333333334,11195,target_rps180.00_iter02_rps186.58_lat.csv
6387,853230,61298.14480454997,52157.0,137937.79999999987,186594.27999999997,42593.30737861413,184.61666666666667,184.61666666666667,11077,target_rps180.00_iter03_rps184.62_lat.csv
7247,788861,72127.26877117889,61919.5,160816.0,236965.23000000065,48552.019261286216,186.9,186.9,11214,target_rps200.00_iter01_rps186.90_lat.csv
5586,519137,64185.07007593084,54712.0,145968.0,208278.20000000013,43271.9536451444,182.18333333333334,182.18333333333334,10931,target_rps200.00_iter02_rps182.17_lat.csv
5154,661331,68327.54225542255,53596.0,172399.0,299527.3999999998,57243.726655775004,185.18333333333334,185.18333333333334,11111,target_rps200.00_iter03_rps185.18_lat.csv
6216,765365,90493.95342577487,75701.0,205053.1,328684.4599999998,65498.77991286877,204.33333333333334,204.33333333333334,12260,target_rps220.00_iter01_rps204.33_lat.csv
7053,848246,90165.46803504786,75660.0,198800.5,321029.5,64844.062201196415,205.43333333333334,205.43333333333334,12326,target_rps220.00_iter02_rps205.43_lat.csv
7257,484259,80350.67147463092,67662.0,183743.75,253052.84999999995,51690.6951630218,196.43333333333334,196.43333333333334,11786,target_rps220.00_iter03_rps196.29_lat.csv
6232,612158,95175.39431682578,74552.5,250502.84999999998,368561.41000000027,75791.7419749669,223.46666666666667,223.46666666666667,13408,target_rps240.00_iter01_rps223.47_lat.csv
6720,542223,95064.57243628641,76429.5,234945.99999999924,330132.01000000007,68507.3738889579,219.73333333333332,219.73333333333332,13184,target_rps240.00_iter02_rps219.73_lat.csv
6930,517170,85528.67855807344,69281.0,209642.0,301142.6999999995,62287.323181716136,222.85,222.85,13371,target_rps240.00_iter03_rps222.82_lat.csv
7784,1090856,175983.18247987118,145642.0,431438.1999999999,580403.8400000001,126400.03641728059,258.75,258.75,15525,target_rps260.00_iter01_rps258.41_lat.csv
6339,1188787,184421.66969309462,139019.5,495384.89999999944,818269.6100000001,158568.82482468837,260.6666666666667,260.6666666666667,15640,target_rps260.00_iter02_rps260.66_lat.csv
6748,1493493,184034.9208292841,142119.0,462988.69999999995,655873.6599999998,140652.45982454595,257.25,257.25,15435,target_rps260.00_iter03_rps257.17_lat.csv
9479,1414738,200361.6459348551,161610.0,481405.0,752137.3499999995,149605.9861071616,259.93333333333334,259.93333333333334,15596,target_rps280.00_iter01_rps259.90_lat.csv
9137,1010107,214261.17917393835,169064.0,583855.5,886445.3999999996,171421.17934736214,257.85,257.85,15471,target_rps280.00_iter02_rps257.83_lat.csv
11354,1423123,183447.94849869452,144644.5,467352.49999999924,679877.8599999998,139059.93908400726,255.33333333333334,255.33333333333334,15320,target_rps280.00_iter03_rps255.32_lat.csv
6600,1394085,196245.49983874089,155117.0,504505.3999999999,691241.6399999999,145363.95395550618,258.3833333333333,258.3833333333333,15503,target_rps300.00_iter01_rps258.31_lat.csv
7546,1495725,155012.03679318356,112127.5,423528.7499999999,683388.6400000004,134143.8653066202,258.2,258.2,15492,target_rps300.00_iter02_rps258.15_lat.csv
8474,1354384,159521.52464811364,120537.0,388811.19999999984,999188.9400000002,156207.29001756175,259.31666666666666,259.31666666666666,15559,target_rps300.00_iter03_rps259.20_lat.csv
6228,1011787,170079.4294098678,132105.0,443764.4,668089.8799999999,134527.1742499467,258.4166666666667,258.4166666666667,15505,target_rps320.00_iter01_rps258.41_lat.csv
6290,777166,162881.43863724353,131847.0,399866.55,528250.5900000001,114805.2518054169,258.3,258.3,15498,target_rps320.00_iter02_rps258.24_lat.csv
8609,1036780,181098.20306340075,143673.0,444104.79999999993,661824.9200000004,137336.63385681144,257.8833333333333,257.8833333333333,15473,target_rps320.00_iter03_rps257.86_lat.csv
11674,1368842,266812.98916837166,222574.0,629527.4,923535.7199999987,186514.93845666962,276.96666666666664,276.96666666666664,16618,target_rps340.00_iter01_rps276.85_lat.csv
12123,1166449,274023.7839524342,227441.0,650352.8999999997,884286.7199999997,184209.33451511012,283.1166666666667,283.1166666666667,16987,target_rps340.00_iter02_rps283.10_lat.csv
10284,1726688,254177.8047003525,205300.5,597835.35,1094500.360000003,194629.887720464,283.6666666666667,283.6666666666667,17020,target_rps340.00_iter03_rps283.61_lat.csv
6375,1437160,296468.44746657484,244030.0,701563.2000000002,1005943.02,207253.12200010946,290.45,290.45,17427,target_rps360.00_iter01_rps290.43_lat.csv
7502,1718127,364400.32542632916,269830.0,1020669.7,1232271.32,289393.85987097345,282.45,282.45,16947,target_rps360.00_iter02_rps282.46_lat.csv
9646,1216368,290515.44293187495,236501.5,740342.8999999998,933814.4500000002,208254.64643915964,280.3666666666667,280.3666666666667,16822,target_rps360.00_iter03_rps280.05_lat.csv
9711,1527683,347030.6714953271,281345.5,927567.2999999993,1234432.2200000007,263438.29085735953,285.3333333333333,285.3333333333333,17120,target_rps380.00_iter01_rps285.25_lat.csv
12717,2259367,442172.0150160678,345924.0,1096345.7999999996,1882055.9200000002,355659.6031299777,285.25,285.25,17115,target_rps380.00_iter02_rps285.23_lat.csv
9170,1555028,331461.90113225166,247756.0,891438.1499999993,1175599.929999999,262456.26837961044,285.56666666666666,285.56666666666666,17134,target_rps380.00_iter03_rps285.48_lat.csv
6669,1476291,306214.45128923113,241658.5,800384.8499999995,1134176.54,237284.31978179613,285.7,285.7,17142,target_rps400.00_iter01_rps285.72_lat.csv
9494,1467835,342612.0047732697,275239.0,872010.85,1144273.14,253067.21059513892,279.3333333333333,279.3333333333333,16760,target_rps400.00_iter02_rps279.35_lat.csv
10149,1498433,386022.1337195413,302599.5,1011552.85,1222599.01,282867.02039948537,279.06666666666666,279.06666666666666,16744,target_rps400.00_iter03_rps279.06_lat.csv
14609,1765908,386097.55697081983,315225.0,984558.2000000003,1356397.4500000037,281860.7039667457,287.8666666666667,287.8666666666667,17272,target_rps420.00_iter01_rps287.82_lat.csv
14200,1961095,444684.5216192432,355470.0,1112643.9999999998,1608706.9200000002,331103.5442508255,284.0833333333333,284.0833333333333,17045,target_rps420.00_iter02_rps284.06_lat.csv
8407,1727333,334008.42484760523,255860.0,1010565.5999999997,1478690.0399999993,287728.73399277247,287.0833333333333,287.0833333333333,17225,target_rps420.00_iter03_rps286.81_lat.csv
11349,1794769,379706.0879857847,290856.0,990867.75,1366568.0499999989,292872.05876389274,290.76666666666665,290.76666666666665,17446,target_rps440.00_iter01_rps290.30_lat.csv
10966,2126772,419515.61203087255,319477.0,1223656.5999999996,1808470.0399999989,365211.514542464,282.8833333333333,282.8833333333333,16973,target_rps440.00_iter02_rps282.83_lat.csv
10677,1631185,382404.13866414694,286138.0,1020327.3999999998,1347357.72,298749.21530395665,282.21666666666664,282.21666666666664,16933,target_rps440.00_iter03_rps281.86_lat.csv
7643,2402681,475373.7356214127,368779.5,1286741.4499999983,1810235.55,388426.5719704334,284.56666666666666,284.56666666666666,17074,target_rps460.00_iter01_rps284.43_lat.csv
6853,1519454,400458.62146521895,334808.5,928295.4499999994,1273557.31,271598.80477536935,279.3666666666667,279.3666666666667,16762,target_rps460.00_iter02_rps279.35_lat.csv
14067,2077332,414882.6048911423,334826.0,1089136.9999999995,1588455.3200000003,320950.75650603836,279.4166666666667,279.4166666666667,16765,target_rps460.00_iter03_rps279.05_lat.csv
10981,1205081,327101.7952742021,290118.0,717108.6,962855.5600000002,198034.26332362083,283.55,283.55,17013,target_rps480.00_iter01_rps283.55_lat.csv
12173,1474633,390480.1171181829,345233.0,880000.0,1105026.0500000003,242148.98642733446,281.76666666666665,281.76666666666665,16906,target_rps480.00_iter02_rps281.76_lat.csv
