target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,40.00,40.00,40.00,40.00,40.00,40.00,100.0
60.00,62.40,62.45,62.50,62.45,62.40,62.50,104.1
80.00,83.20,83.20,83.12,83.17,83.12,83.20,104.0
100.00,99.55,99.57,99.38,99.50,99.38,99.57,99.5
120.00,124.08,124.15,124.33,124.19,124.08,124.33,103.5
140.00,141.45,141.06,141.05,141.19,141.05,141.45,100.8
160.00,164.35,165.13,164.62,164.70,164.35,165.13,102.9
180.00,196.23,196.55,195.81,196.20,195.81,196.55,109.0
200.00,195.63,195.74,196.61,195.99,195.63,196.61,98.0
220.00,242.55,242.71,242.33,242.53,242.33,242.71,110.2
240.00,240.63,240.77,241.53,240.98,240.63,241.53,100.4
260.00,315.11,316.42,315.65,315.73,315.11,316.42,121.4
280.00,316.78,318.17,316.88,317.28,316.78,318.17,113.3
300.00,315.73,315.68,317.36,316.26,315.68,317.36,105.4
320.00,315.16,314.92,316.34,315.47,314.92,316.34,98.6
340.00,439.06,440.36,441.32,440.25,439.06,441.32,129.5
360.00,444.08,440.85,435.39,440.11,435.39,444.08,122.3
380.00,438.36,441.41,440.23,440.00,438.36,441.41,115.8
400.00,438.54,437.33,436.96,437.61,436.96,438.54,109.4
420.00,439.38,433.27,433.77,435.47,433.27,439.38,103.7
440.00,428.75,435.59,438.49,434.28,428.75,438.49,98.7
460.00,440.36,442.22,437.70,440.09,437.70,442.22,95.7
480.00,440.52,438.38,441.58,440.16,438.38,441.58,91.7
500.00,441.34,439.31,435.90,438.85,435.90,441.34,87.8

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,444.08,360.00
Max Iter2,442.22,460.00
Max Iter3,441.58,480.00
Overall Max,444.08,360.00
Avg of Max,442.63,
