rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_nodejs_c5,3,1200.0,0.0,1200,1200,4736.333333333333,59.00282479113465,4669,4779,71768.0,57368.42870429693,38280,138010,7226.0233333333335,431.74708279349676,6787.7525,7650.9366666666665,6510.833333333333,171.33325226976035,6313.0,6611.0,10487.066666666668,712.3994426116096,9706.2,11101.55,20096.87666666666,6802.256657465459,14529.47,27678.879999999976,20.0,0.0,20.0,20.0,1200.0,4736.333333333333,71768.0,7226.0233333333335,6510.833333333333,10487.066666666668,20096.87666666666,20.0
40,60,fibonacci_nodejs_c5,3,2399.0,1.7320508075688772,2397,2400,4268.666666666667,186.01433636505905,4084,4456,97066.66666666667,97279.8875427667,39179,209378,6813.140488631623,351.2668871639309,6533.511666666666,7207.40375,6067.5,102.47072752742609,5952.0,6147.5,10177.866666666663,593.121038097063,9710.64999999999,10845.15,18896.199999999968,2919.73350153742,17200.999999999953,22267.599999999962,39.983333333333334,0.028867513459479646,39.95,40.0,2399.0,4268.666666666667,97066.66666666667,6813.140488631623,6067.5,10177.866666666663,18896.199999999968,39.983333333333334
60,60,fibonacci_nodejs_c5,3,3747.0,3.605551275463989,3743,3750,3979.3333333333335,112.0104161823057,3850,4045,51278.333333333336,7835.879550716265,44780,59980,6668.396234615895,275.63587165626967,6367.838933333333,6909.361792956243,5943.666666666667,200.26877772966344,5760.5,6157.5,11099.049999999987,1203.2525992076494,9760.399999999998,12090.599999999962,18441.00999999999,1430.3742147773858,17229.189999999984,20018.82,62.449999999999996,0.06009252125773368,62.38333333333333,62.5,3747.0,3979.3333333333335,51278.333333333336,6668.396234615895,5943.666666666667,11099.049999999987,18441.00999999999,62.449999999999996
80,60,fibonacci_nodejs_c5,3,4983.333333333333,4.163331998932265,4980,4988,3557.6666666666665,65.24824390995771,3501,3629,60654.333333333336,13708.939431383207,52704,76484,6503.887035994288,189.69842741263614,6285.146952686448,6623.260843373494,5662.666666666667,130.54245797185425,5512.0,5742.0,11383.449999999997,666.1369003440691,10626.749999999995,11881.350000000002,20070.986666666668,486.7278435977679,19756.44000000001,20631.620000000003,83.05555555555556,0.06938886664887511,83.0,83.13333333333334,4983.333333333333,3557.6666666666665,60654.333333333336,6503.887035994288,5662.666666666667,11383.449999999997,20070.986666666668,83.05555555555556
100,60,fibonacci_nodejs_c5,3,5975.0,7.0,5967,5980,3620.0,39.344631145812,3584,3662,124849.33333333333,140315.07860644677,43602,286871,6365.077887753315,166.45930732966573,6268.288223486115,6557.286911345735,5510.5,141.48056403619543,5359.5,5640.0,10873.949999999995,862.8807000391187,10341.2,11869.499999999996,19758.219999999994,1646.750371003465,18429.63999999997,21600.620000000006,99.58333333333333,0.11666666666666815,99.45,99.66666666666667,5975.0,3620.0,124849.33333333333,6365.077887753315,5510.5,10873.949999999995,19758.219999999994,99.58333333333333
120,60,fibonacci_nodejs_c5,3,7444.0,8.888194417315589,7434,7451,3510.3333333333335,59.936077059925545,3442,3554,155607.0,98416.00032006991,46564,237840,6245.972832794964,107.5297429933269,6132.14005639855,6345.833602367501,5306.0,54.80875842417888,5244.0,5348.0,11109.866666666667,216.12085353647137,10860.7,11246.5,20090.22666666667,1367.203730295283,18695.379999999997,21428.0,124.06666666666668,0.14813657362192365,123.9,124.18333333333334,7444.0,3510.3333333333335,155607.0,6245.972832794964,5306.0,11109.866666666667,20090.22666666667,124.06666666666668
140,60,fibonacci_nodejs_c5,3,8480.666666666666,18.339392937971894,8460,8495,3473.6666666666665,27.790885796126275,3452,3505,69247.0,29907.201340145486,46135,103025,6182.5549581334635,40.44835208633887,6156.759514551667,6229.172340425532,5325.333333333333,36.69241520169166,5291.0,5364.0,11029.683333333329,332.69931745246043,10683.599999999999,11347.149999999998,18942.01666666666,632.3097573447084,18453.679999999993,19656.24999999998,141.34444444444443,0.3056565489662,141.0,141.58333333333334,8480.666666666666,3473.6666666666665,69247.0,6182.5549581334635,5325.333333333333,11029.683333333329,18942.01666666666,141.34444444444443
160,60,fibonacci_nodejs_c5,3,9846.333333333334,15.53490693030806,9829,9859,3328.6666666666665,111.2894124943309,3204,3418,186491.66666666666,106922.16188580052,72358,284332,6457.177528378171,304.9725781057905,6111.365655746019,6687.6932291137955,5237.0,207.88458336298052,5001.0,5393.0,12503.733333333335,974.6945436049838,11456.600000000006,13384.6,21755.133333333306,921.6061756158706,20728.84,22512.0,164.10555555555555,0.2589151155051354,163.81666666666666,164.31666666666666,9846.333333333334,3328.6666666666665,186491.66666666666,6457.177528378171,5237.0,12503.733333333335,21755.133333333306,164.10555555555555
180,60,fibonacci_nodejs_c5,3,11767.666666666666,24.54248017893329,11744,11793,3303.0,44.19275958796871,3276,3354,95606.33333333333,51174.151759783315,64948,154683,6469.180435135852,52.115976164931965,6411.063681845162,6511.7631310555835,5363.0,6.0,5357.0,5369.0,12970.383333333331,98.72368425729148,12887.250000000002,13079.5,21189.84,1204.9818833492748,20070.359999999997,22465.159999999974,196.12777777777777,0.40904133631556727,195.73333333333332,196.55,11767.666666666666,3303.0,95606.33333333333,6469.180435135852,5363.0,12970.383333333331,21189.84,196.12777777777777
200,60,fibonacci_nodejs_c5,3,11781.666666666666,8.504900548115382,11773,11790,3247.6666666666665,30.92463958291727,3222,3282,218796.0,139413.05033245633,58219,308947,6837.024615972925,186.57996005431085,6629.948696169201,6992.057760814249,5532.0,93.5040106091712,5439.0,5626.0,13101.216666666658,358.8938364382072,12733.299999999985,13450.349999999988,22159.47000000002,920.9344229096843,21514.660000000007,23214.190000000017,196.36111111111111,0.1417483424685889,196.21666666666667,196.5,11781.666666666666,3247.6666666666665,218796.0,6837.024615972925,5532.0,13101.216666666658,22159.47000000002,196.36111111111111
220,60,fibonacci_nodejs_c5,3,14507.333333333334,30.088757590391356,14488,14542,3328.6666666666665,10.214368964029708,3317,3336,330478.3333333333,280146.1182835367,49109,609385,7633.042544199162,642.1520487813035,6992.033489203686,8276.331515737162,5886.333333333333,80.97890671856057,5794.5,5947.5,15342.899999999994,868.7830799457344,14341.899999999998,15900.699999999993,28856.893333333323,5716.138870131928,22320.320000000007,32918.36999999996,241.7888888888889,0.5014792931731935,241.46666666666667,242.36666666666667,14507.333333333334,3328.6666666666665,330478.3333333333,7633.042544199162,5886.333333333333,15342.899999999994,28856.893333333323,241.7888888888889
240,60,fibonacci_nodejs_c5,3,14592.333333333334,10.263202878893768,14581,14601,3272.6666666666665,124.58865651949752,3129,3351,144281.0,149107.48832637482,46986,315946,7095.67977667697,255.21401798128105,6911.122507708119,7386.926136753309,5839.666666666667,74.32585911601247,5754.0,5887.0,14162.099999999997,559.9539534640345,13781.0,14805.0,23250.44666666668,2297.74201130881,21477.0,25846.200000000044,243.20555555555555,0.1710533813148864,243.01666666666668,243.35,14592.333333333334,3272.6666666666665,144281.0,7095.67977667697,5839.666666666667,14162.099999999997,23250.44666666668,243.20555555555555
260,60,fibonacci_nodejs_c5,3,18915.666666666668,45.081407845511364,18867,18956,3256.0,185.57208841849035,3044,3389,254040.0,93894.695446548,147736,325653,10078.272457602592,476.92881367561944,9788.208141198918,10628.71565731167,6960.166666666667,184.5645776776609,6754.0,7110.0,26152.983333333326,1289.238624473121,25099.79999999999,27590.75,53847.35666666675,7110.939860850592,48772.00000000009,61974.85000000012,315.2611111111111,0.751356797425195,314.45,315.93333333333334,18915.666666666668,3256.0,254040.0,10078.272457602592,6960.166666666667,26152.983333333326,53847.35666666675,315.2611111111111
280,60,fibonacci_nodejs_c5,3,18877.333333333332,73.41888948583555,18793,18927,3356.3333333333335,107.23960711105451,3289,3480,264119.3333333333,123638.37806414856,123969,357750,10073.39128656203,302.9289453828686,9773.895759059224,10379.640704314721,7075.0,262.7774723982252,6837.0,7357.0,24697.766666666663,1796.5566963871092,23099.99999999999,26642.500000000007,47492.38333333336,2348.6925878950483,45377.96000000009,50020.399999999994,314.6222222222222,1.2236481580972678,313.21666666666664,315.45,18877.333333333332,3356.3333333333335,264119.3333333333,10073.39128656203,7075.0,24697.766666666663,47492.38333333336,314.6222222222222
