target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,19.98,20.00,19.98,19.99,19.98,20.00,99.9
40.00,39.93,39.92,39.95,39.93,39.92,39.95,99.8
60.00,62.26,62.30,62.30,62.29,62.26,62.30,103.8
80.00,83.15,83.02,82.95,83.04,82.95,83.15,103.8
100.00,98.68,99.18,99.12,98.99,98.68,99.18,99.0
120.00,123.16,122.68,122.20,122.68,122.20,123.16,102.2
140.00,135.03,126.32,122.03,127.79,122.03,135.03,91.3
160.00,126.95,129.40,125.30,127.22,125.30,129.40,79.5
180.00,121.38,125.61,122.15,123.05,121.38,125.61,68.4
200.00,117.53,122.68,127.93,122.71,117.53,127.93,61.4
220.00,118.43,118.80,120.32,119.18,118.43,120.32,54.2
240.00,117.60,115.01,123.33,118.65,115.01,123.33,49.4
260.00,108.88,99.62,106.93,105.14,99.62,108.88,40.4
280.00,103.95,107.55,110.11,107.20,103.95,110.11,38.3
300.00,110.48,102.93,107.93,107.11,102.93,110.48,35.7
320.00,105.25,104.24,104.17,104.55,104.17,105.25,32.7
340.00,94.18,86.59,88.38,89.72,86.59,94.18,26.4
360.00,90.73,94.50,98.25,94.49,90.73,98.25,26.2
380.00,89.45,96.03,96.50,93.99,89.45,96.50,24.7
400.00,91.71,96.69,97.11,95.17,91.71,97.11,23.8
420.00,91.68,94.86,95.46,94.00,91.68,95.46,22.4
440.00,93.15,95.28,93.50,93.98,93.15,95.28,21.4
460.00,92.68,105.35,95.35,97.79,92.68,105.35,21.3
480.00,92.18,100.80,98.95,97.31,92.18,100.80,20.3
500.00,105.05,103.71,127.31,112.02,103.71,127.31,22.4

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,135.03,140.00
Max Iter2,129.40,160.00
Max Iter3,127.93,200.00
Overall Max,135.03,140.00
Avg of Max,130.79,
