timestamp,pod_count,cpu_usage_millicores,memory_usage_mib
2025-08-28T14:57:56.983196,1,13,51
2025-08-28T14:57:59.201801,1,16,50
2025-08-28T14:58:01.494068,1,16,50
2025-08-28T14:58:03.875971,1,16,50
2025-08-28T14:58:06.272961,1,16,50
2025-08-28T14:58:08.637914,1,16,50
2025-08-28T14:58:10.960815,1,16,50
2025-08-28T14:58:13.432650,1,245,57
2025-08-28T14:58:15.783580,1,245,57
2025-08-28T14:58:18.101787,1,245,57
2025-08-28T14:58:20.436291,1,245,57
2025-08-28T14:58:22.777791,1,245,57
2025-08-28T14:58:25.129741,1,245,57
2025-08-28T14:58:27.467945,1,245,57
2025-08-28T14:58:29.766636,1,972,59
2025-08-28T14:58:32.025830,1,972,59
2025-08-28T14:58:34.376713,1,972,59
2025-08-28T14:58:36.855891,1,972,59
2025-08-28T14:58:39.300988,1,972,59
2025-08-28T14:58:41.618190,1,972,59
2025-08-28T14:58:44.025900,1,972,59
2025-08-28T14:58:46.441278,1,972,59
2025-08-28T14:58:48.834203,1,972,59
2025-08-28T14:58:51.229770,1,972,59
2025-08-28T14:58:53.537767,1,972,59
2025-08-28T14:58:55.841160,1,972,59
2025-08-28T14:58:58.187320,1,955,58
2025-08-28T14:59:00.460951,1,955,58
2025-08-28T14:59:02.786690,1,955,58
2025-08-28T14:59:05.149796,1,955,58
2025-08-28T14:59:07.461784,1,955,58
2025-08-28T14:59:09.984057,1,955,58
2025-08-28T14:59:12.430156,1,955,58
2025-08-28T14:59:14.731478,1,855,59
2025-08-28T14:59:16.984161,1,855,59
2025-08-28T14:59:19.281295,1,855,59
2025-08-28T14:59:21.618159,1,855,59
2025-08-28T14:59:23.892601,1,855,59
2025-08-28T14:59:26.150786,1,855,59
2025-08-28T14:59:28.438304,1,614,63
2025-08-28T14:59:30.797912,1,614,63
2025-08-28T14:59:33.225812,1,614,63
2025-08-28T14:59:35.552436,1,614,63
2025-08-28T14:59:38.008692,1,614,63
2025-08-28T14:59:40.391767,1,614,63
2025-08-28T14:59:42.749129,1,614,63
2025-08-28T14:59:45.058009,1,940,60
2025-08-28T14:59:47.333868,1,940,60
2025-08-28T14:59:49.664247,1,940,60
2025-08-28T14:59:52.046892,1,940,60
