rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_python_a4,3,1200.0,0.0,1200,1200,5673.333333333333,257.1951269626494,5384,5876,199598.0,126475.20689447399,86295,336048,23633.145555555555,834.5341680086209,23097.5,24594.6975,22366.833333333332,1182.1423701624662,21167.5,23531.0,37100.98333333333,1265.7895019841676,36287.549999999996,38559.34999999999,65618.00333333328,29147.403001063936,48449.01999999999,99272.2099999999,20.0,0.0,20.0,20.0,1200.0,5673.333333333333,199598.0,23633.145555555555,22366.833333333332,37100.98333333333,65618.00333333328,20.0
40,60,fibonacci_python_a4,3,2397.6666666666665,1.5275252316519465,2396,2399,4394.333333333333,204.84221570109355,4259,4630,135480.33333333334,51160.52220544013,102997,194454,24286.20097631727,572.8410394558233,23769.1363067945,24901.986655546287,23093.5,428.0972436257912,22831.0,23587.5,43302.19999999999,470.4429508452566,42764.600000000006,43638.5,56954.810000000034,1391.2353241273927,55559.8200000001,58342.259999999995,39.961111111111116,0.025458753860868207,39.93333333333333,39.983333333333334,2397.6666666666665,4394.333333333333,135480.33333333334,24286.20097631727,23093.5,43302.19999999999,56954.810000000034,39.961111111111116
60,60,fibonacci_python_a4,3,3738.3333333333335,2.309401076758503,3737,3741,4399.0,279.6658720687957,4080,4602,241301.66666666666,206303.63338131816,105814,478732,27367.635693654545,3666.1646493537773,23205.140487021676,30116.706984211934,24834.0,2439.6452610984247,22029.0,26462.0,55484.73333333333,6289.984834109955,48776.0,61249.19999999998,82137.83999999985,19921.78431337899,63617.19999999997,103214.11999999965,62.30555555555555,0.038490017945976965,62.28333333333333,62.35,3738.3333333333335,4399.0,241301.66666666666,27367.635693654545,24834.0,55484.73333333333,82137.83999999985,62.30555555555555
80,60,fibonacci_python_a4,3,4974.333333333333,9.29157324317757,4968,4985,4202.333333333333,114.17676354378474,4096,4323,256704.33333333334,76147.38174312584,195850,342095,31279.14809538976,1214.027031817819,29927.052133655394,32275.725352112677,26295.833333333332,1342.588203185673,25504.0,27846.0,75481.88333333333,7099.11313199286,71061.80000000002,83670.6,137914.09666666694,33993.82623357474,112901.56999999993,176618.840000001,82.90555555555555,0.15485955405295884,82.8,83.08333333333333,4974.333333333333,4202.333333333333,256704.33333333334,31279.14809538976,26295.833333333332,75481.88333333333,137914.09666666694,82.90555555555555
100,60,fibonacci_python_a4,3,5948.0,5.5677643628300215,5943,5954,4032.6666666666665,56.1456439390745,3968,4069,399005.3333333333,113898.78823909117,284692,512485,48476.38964888642,13183.538492581638,37890.41611980481,63243.47587018665,32585.5,9124.751736348775,27147.0,43120.0,156996.13333333324,47337.704470784556,112878.59999999996,207002.9,244587.31000000003,55842.625532008264,184024.05999999997,294038.39999999997,99.13333333333333,0.09279607271383608,99.05,99.23333333333333,5948.0,4032.6666666666665,399005.3333333333,48476.38964888642,32585.5,156996.13333333324,244587.31000000003,99.13333333333333
120,60,fibonacci_python_a4,3,6976.666666666667,108.1495877631225,6876,7091,5750.0,1711.8738271262869,3942,7346,6835891.333333333,2909940.0639979397,3868352,9684591,1812727.236228089,896340.9951620519,788733.5931462417,2455127.063118092,1696566.6666666667,884274.4906839355,678016.0,2267949.0,3511210.4166666665,1305669.8568238914,2016518.5,4429424.25,4445531.546666668,1713480.1312528641,2490626.9,5687133.5,116.27777777777777,1.8024931293853796,114.6,118.18333333333334,6976.666666666667,5750.0,6835891.333333333,1812727.236228089,1696566.6666666667,3511210.4166666665,4445531.546666668,116.27777777777777
140,60,fibonacci_python_a4,3,6720.666666666667,143.1165026589643,6581,6867,8078.333333333333,2902.424733448455,5205,11009,21346056.666666668,1842275.3856384591,19310164,22898170,5855134.790688182,967540.8421125944,4910212.265763798,6843809.524084486,5743561.333333333,988727.4908761935,4766107.0,6743189.0,11883331.799999999,2184733.1818254907,10135588.7,14332673.0,12735039.770000001,2542913.4640516364,10665117.68,15573601.6,112.0111111111111,2.385275044316071,109.68333333333334,114.45,6720.666666666667,8078.333333333333,21346056.666666668,5855134.790688182,5743561.333333333,11883331.799999999,12735039.770000001,112.0111111111111
160,60,fibonacci_python_a4,3,6507.0,82.05485969764375,6420,6583,8842.333333333334,1552.6339985113468,7211,10302,30006903.333333332,4035.7230248535807,30002253,30009489,9347654.178394472,258982.03650879246,9098129.599221183,9615156.82150995,9135731.0,617668.4415985246,8694937.5,9841710.0,18284518.583333332,460430.0072694454,17801191.099999998,18717993.95,19669885.603333324,582808.7905900751,19282058.45,20340095.999999966,108.45,1.3675809949607305,107.0,109.71666666666667,6507.0,8842.333333333334,30006903.333333332,9347654.178394472,9135731.0,18284518.583333332,19669885.603333324,108.45
180,60,fibonacci_python_a4,3,6352.666666666667,14.011899704655802,6337,6364,7037.333333333333,483.00034506543915,6480,7334,30034010.0,15608.969248480184,30023719,30051970,13486598.685400315,243216.22587510975,13238411.230550734,13724518.47737272,13189316.0,485124.88838236284,12631560.0,13513220.0,25809380.066666666,432045.5104626988,25340484.599999998,26191361.2,27639402.10666667,935722.1732823976,26675125.44,28543682.44,105.87777777777778,0.23353166174426598,105.61666666666666,106.06666666666666,6352.666666666667,7037.333333333333,30034010.0,13486598.685400315,13189316.0,25809380.066666666,27639402.10666667,105.87777777777778
200,60,fibonacci_python_a4,3,6501.666666666667,249.48012612898313,6293,6778,7654.666666666667,1308.7361587934115,6380,8995,30021904.333333332,10152.155748082932,30015158,30033580,13062074.511920905,629135.7083016917,12429891.73281204,13688118.22008082,13106203.0,607830.2088552362,12563639.0,13763070.0,25158751.833333332,1281763.029510262,23815016.7,26367926.0,26697669.830000002,1055792.0611852957,25679299.68,27787275.919999998,108.36111111111113,4.158002102149717,104.88333333333334,112.96666666666667,6501.666666666667,7654.666666666667,30021904.333333332,13062074.511920905,13106203.0,25158751.833333332,26697669.830000002,108.36111111111113
