min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
6002,226151,26193.918333333335,24501.0,41410.0,64395.66999999997,14742.085099752021,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
5179,254134,25163.790833333333,23661.5,38488.14999999998,58850.379999999976,13436.151179265686,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
6390,117318,26019.770833333332,24471.0,41478.45,56894.81,9851.947182578477,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
4138,114253,26234.595416666667,24707.5,47186.45,64333.34999999999,12784.61779121935,40.0,40.0,2400,target_rps40.00_iter01_rps40.00_lat.csv
4532,93972,26283.821860659158,24267.0,45921.799999999974,62536.759999999995,11675.175864902487,39.95,39.95,2397,target_rps40.00_iter02_rps39.95_lat.csv
4167,143009,24453.30804501876,23440.0,45685.899999999994,62559.87999999998,13347.47897245448,39.983333333333334,39.983333333333334,2399,target_rps40.00_iter03_rps39.98_lat.csv
5121,250032,31476.291588785047,28260.0,61365.799999999996,104741.15999999997,19979.265973569018,62.416666666666664,62.416666666666664,3745,target_rps60.00_iter01_rps62.42_lat.csv
4779,202944,30389.836587322814,27163.0,60928.19999999998,102265.85999999964,19469.887863390122,62.31666666666667,62.31666666666667,3739,target_rps60.00_iter02_rps62.32_lat.csv
4072,135648,26043.41250333957,24351.0,55235.89999999998,80627.85999999996,16732.63008157193,62.38333333333333,62.38333333333333,3743,target_rps60.00_iter03_rps62.38_lat.csv
3939,302628,39780.008028904056,32455.0,99479.15,163980.47999999975,32277.802095930485,83.03333333333333,83.03333333333333,4982,target_rps80.00_iter01_rps83.03_lat.csv
3576,302937,37093.85404537241,28186.0,109617.0,161707.59999999998,34606.49055051125,83.01666666666667,83.01666666666667,4981,target_rps80.00_iter02_rps83.02_lat.csv
3909,282331,34279.1259303963,25282.0,103298.0,151300.1,32297.060908222407,82.85,82.85,4971,target_rps80.00_iter03_rps82.85_lat.csv
9061,5377868,1391976.9437644137,1309837.0,2811506.8,3211541.0800000005,757105.161199168,93.95,93.95,5637,target_rps100.00_iter01_rps93.95_lat.csv
4003,3204535,458096.3095115681,372094.0,1141360.5000000002,1779612.9999999998,388927.6622227206,97.25,97.25,5835,target_rps100.00_iter02_rps97.25_lat.csv
6243,6536550,1451657.7481666964,1223422.0,3327327.0,3764443.8000000003,974845.6141938881,93.18333333333334,93.18333333333334,5591,target_rps100.00_iter03_rps93.18_lat.csv
11971,25167654,7671030.708671354,7430470.0,14363521.5,15575640.54,4302299.408368083,92.45,92.45,5547,target_rps120.00_iter01_rps92.45_lat.csv
4506,27170882,7798031.191712707,7671002.0,15011741.1,16094958.1,4988870.428606568,90.5,90.5,5430,target_rps120.00_iter02_rps90.50_lat.csv
8710,27670069,8735023.342814924,9351601.0,15730964.799999999,16028164.48,4516939.3399256,90.23333333333333,90.23333333333333,5414,target_rps120.00_iter03_rps90.23_lat.csv
8799,30002714,9354739.29998226,8492553.0,18866654.6,19540497.64,5726529.356112143,93.95,93.95,5637,target_rps140.00_iter01_rps93.92_lat.csv
12250,30016067,10861521.371823618,10328895.5,20545513.95,21821031.29,6351252.891876138,89.2,89.2,5352,target_rps140.00_iter02_rps89.02_lat.csv
8827,30014688,9803422.136314655,9612387.5,19100931.9,21746965.9,5872289.822097923,92.8,92.8,5568,target_rps140.00_iter03_rps92.71_lat.csv
11832,30007308,13199673.683916891,12566330.0,26776273.999999996,27913700.69,7779329.677822741,86.63333333333334,86.63333333333334,5198,target_rps160.00_iter01_rps86.42_lat.csv
10650,30011901,15018564.116357172,15956012.5,28461268.45,29775703.130000006,8545024.295308894,84.36666666666666,84.36666666666666,5062,target_rps160.00_iter02_rps84.05_lat.csv
8815,30004822,11184309.67874766,11000766.0,22615074.199999996,24732626.16,6823500.242453311,97.95,97.95,5877,target_rps160.00_iter03_rps97.83_lat.csv
12059,30060857,17017927.39255702,17221618.0,30004780.5,30015060.6,10399842.140071131,97.18333333333334,97.18333333333334,5831,target_rps180.00_iter01_rps83.75_lat.csv
11795,30025353,15440126.172909183,16108859.0,28930510.299999993,30004699.68,8511181.905818522,97.45,97.45,5847,target_rps180.00_iter02_rps94.30_lat.csv
9699,30040447,16833647.31456044,17146535.0,30002617.8,30007232.03,9776778.298224483,97.06666666666666,97.06666666666666,5824,target_rps180.00_iter03_rps87.30_lat.csv
7735,30027891,17075905.409987986,17868638.0,30002916.8,30009881.08,9810129.546696875,97.11666666666666,97.11666666666666,5827,target_rps200.00_iter01_rps84.00_lat.csv
8951,30058029,18446460.545485754,18908918.0,30005681.75,30013650.0,10407693.832153775,97.1,97.1,5826,target_rps200.00_iter02_rps75.13_lat.csv
8347,30048025,16467519.39578695,16218332.0,30002651.5,30007147.52,9809389.436257856,97.31666666666666,97.31666666666666,5839,target_rps200.00_iter03_rps86.12_lat.csv
11819,30063898,19751896.61651755,23085518.0,30009310.0,30021618.92,10598958.500026265,121.08333333333333,121.08333333333333,7265,target_rps220.00_iter01_rps79.80_lat.csv
11901,30060446,20790126.037624847,25443208.0,30008338.6,30018149.44,10528716.931262713,121.81666666666666,121.81666666666666,7309,target_rps220.00_iter02_rps73.05_lat.csv
9727,30054715,20702367.722079676,25092790.0,30008228.6,30018238.48,10607985.681026647,123.41666666666667,123.41666666666667,7405,target_rps220.00_iter03_rps72.80_lat.csv
9939,30086868,20924978.854343295,26498576.0,30007148.9,30017435.6,10601442.43981793,119.91666666666667,119.91666666666667,7195,target_rps240.00_iter01_rps71.55_lat.csv
8412,30169726,21062542.060768913,25863050.0,30010248.2,30030036.72,10298493.420595035,120.95,120.95,7257,target_rps240.00_iter02_rps71.11_lat.csv
7497,30080023,20242892.777143653,23590132.0,30008727.35,30020414.64,10549050.278489737,119.73333333333333,119.73333333333333,7184,target_rps240.00_iter03_rps77.57_lat.csv
