timestamp,pod_count,cpu_usage_millicores,memory_usage_mib
2025-08-19T11:17:14.702066,1,11,44
2025-08-19T11:17:16.949766,1,11,44
2025-08-19T11:17:19.170212,1,11,44
2025-08-19T11:17:21.507218,1,11,44
2025-08-19T11:17:23.832319,1,11,44
2025-08-19T11:17:26.114921,1,11,44
2025-08-19T11:17:28.497820,1,165,54
2025-08-19T11:17:30.898271,1,165,54
2025-08-19T11:17:33.349773,1,165,54
2025-08-19T11:17:35.738575,1,165,54
2025-08-19T11:17:38.004222,1,165,54
2025-08-19T11:17:40.305803,1,165,54
2025-08-19T11:17:42.680703,1,165,54
2025-08-19T11:17:45.028459,1,923,59
2025-08-19T11:17:47.416964,1,923,59
2025-08-19T11:17:49.821816,1,923,59
2025-08-19T11:17:52.147084,1,923,59
2025-08-19T11:17:54.469471,1,923,59
2025-08-19T11:17:56.981507,1,923,59
2025-08-19T11:17:59.425798,1,981,58
2025-08-19T11:18:01.797805,1,981,58
2025-08-19T11:18:04.077767,1,981,58
2025-08-19T11:18:06.464573,1,981,58
2025-08-19T11:18:08.815111,1,981,58
2025-08-19T11:18:11.165717,1,981,58
2025-08-19T11:18:13.480448,1,960,57
2025-08-19T11:18:15.821133,1,960,57
2025-08-19T11:18:18.252869,1,960,57
2025-08-19T11:18:20.477353,1,960,57
2025-08-19T11:18:22.791668,1,960,57
2025-08-19T11:18:25.077745,1,960,57
2025-08-19T11:18:27.420504,1,960,57
2025-08-19T11:18:29.748941,1,826,57
2025-08-19T11:18:32.147915,1,826,57
2025-08-19T11:18:34.474042,1,826,57
2025-08-19T11:18:36.881784,1,826,57
2025-08-19T11:18:39.269869,1,826,57
2025-08-19T11:18:41.614385,1,826,57
2025-08-19T11:18:43.973612,1,946,58
2025-08-19T11:18:46.347948,1,946,58
2025-08-19T11:18:48.684654,1,946,58
2025-08-19T11:18:51.014747,1,946,58
2025-08-19T11:18:53.502079,1,946,58
2025-08-19T11:18:55.820060,1,946,58
2025-08-19T11:18:58.137836,1,965,58
2025-08-19T11:19:00.497740,1,965,58
2025-08-19T11:19:02.853023,1,965,58
2025-08-19T11:19:05.177936,1,965,58
2025-08-19T11:19:07.425110,1,965,58
2025-08-19T11:19:09.671942,1,965,58
2025-08-19T11:19:11.913883,1,965,58
2025-08-19T11:19:14.296673,1,936,59
2025-08-19T11:19:16.719067,1,936,59
2025-08-19T11:19:18.984039,1,936,59
2025-08-19T11:19:21.215911,1,936,59
2025-08-19T11:19:23.535044,1,936,59
2025-08-19T11:19:25.980760,1,936,59
2025-08-19T11:19:28.281777,1,479,59
2025-08-19T11:19:30.560329,1,479,59
2025-08-19T11:19:32.907143,1,479,59
2025-08-19T11:19:35.309780,1,479,59
2025-08-19T11:19:37.578072,1,479,59
2025-08-19T11:19:39.811520,1,479,59
2025-08-19T11:19:42.061967,1,479,59
2025-08-19T11:19:44.385752,1,512,60
2025-08-19T11:19:46.879128,1,512,60
2025-08-19T11:19:49.168891,1,512,60
2025-08-19T11:19:51.483846,1,512,60
2025-08-19T11:19:53.853716,1,512,60
2025-08-19T11:19:56.223996,1,512,60
2025-08-19T11:19:58.469624,1,609,59
2025-08-19T11:20:00.727244,1,609,59
2025-08-19T11:20:03.208418,1,609,59
2025-08-19T11:20:05.551641,1,609,59
2025-08-19T11:20:07.953014,1,609,59
2025-08-19T11:20:10.409487,1,609,59
2025-08-19T11:20:12.828126,1,609,59
2025-08-19T11:20:15.149762,1,522,59
2025-08-19T11:20:17.507151,1,522,59
2025-08-19T11:20:19.775700,1,522,59
2025-08-19T11:20:22.099402,1,522,59
2025-08-19T11:20:24.309955,1,522,59
2025-08-19T11:20:26.577905,1,522,59
2025-08-19T11:20:28.791717,1,941,59
2025-08-19T11:20:31.103191,1,941,59
2025-08-19T11:20:33.533866,1,941,59
2025-08-19T11:20:35.957768,1,941,59
2025-08-19T11:20:38.293816,1,941,59
2025-08-19T11:20:40.613813,1,941,59
2025-08-19T11:20:42.992058,1,617,62
2025-08-19T11:20:45.432438,1,617,62
2025-08-19T11:20:47.725744,1,617,62
2025-08-19T11:20:50.169888,1,617,62
2025-08-19T11:20:52.522107,1,617,62
2025-08-19T11:20:55.017745,1,617,62
2025-08-19T11:20:57.327537,1,617,62
2025-08-19T11:20:59.628206,1,1013,59
2025-08-19T11:21:01.918829,1,1013,59
2025-08-19T11:21:04.247822,1,1013,59
2025-08-19T11:21:06.730193,1,1013,59
2025-08-19T11:21:09.013197,1,1013,59
2025-08-19T11:21:11.287648,1,1013,59
2025-08-19T11:21:13.619904,1,627,55
2025-08-19T11:21:16.231930,1,627,55
2025-08-19T11:21:18.531146,1,627,55
2025-08-19T11:21:20.800312,1,627,55
2025-08-19T11:21:23.225761,1,627,55
2025-08-19T11:21:25.581797,1,627,55
2025-08-19T11:21:27.991172,1,572,58
2025-08-19T11:21:30.217848,1,572,58
2025-08-19T11:21:32.513381,1,572,58
2025-08-19T11:21:34.877362,1,572,58
2025-08-19T11:21:37.288351,1,572,58
2025-08-19T11:21:39.552057,1,572,58
2025-08-19T11:21:41.864413,1,572,58
2025-08-19T11:21:44.272451,1,570,59
2025-08-19T11:21:46.796661,1,570,59
2025-08-19T11:21:49.085847,1,570,59
2025-08-19T11:21:51.389805,1,570,59
2025-08-19T11:21:53.893836,1,570,59
2025-08-19T11:21:56.260217,1,570,59
2025-08-19T11:21:58.567371,1,580,59
2025-08-19T11:22:00.868379,1,580,59
2025-08-19T11:22:03.356972,1,580,59
