min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
5802,128795,25529.7725,24243.5,40480.1,57010.419999999984,9164.108587713834,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
5855,92052,24687.475833333334,23872.5,41198.65,53086.69999999999,9794.30802138412,20.0,20.0,1200,target_rps20.00_iter02_rps19.38_lat.csv
5400,174772,25954.291909924937,25009.0,42014.39999999998,51475.59999999998,10296.904527116878,19.983333333333334,19.983333333333334,1199,target_rps20.00_iter03_rps18.75_lat.csv
5639,190799,29675.20425177157,28068.0,53552.49999999997,74315.44,15085.944347841121,39.983333333333334,39.983333333333334,2399,target_rps40.00_iter01_rps39.98_lat.csv
4244,230910,27083.763993316625,26226.5,47338.399999999994,63802.480000000156,13227.045317338414,39.9,39.9,2394,target_rps40.00_iter02_rps39.90_lat.csv
5021,142266,25652.736644407345,24716.0,47943.5,67209.55000000005,14149.113068984487,39.93333333333333,39.93333333333333,2396,target_rps40.00_iter03_rps39.93_lat.csv
4523,318341,26431.188436830835,22963.5,58773.25,84668.40000000001,19103.02000942656,62.266666666666666,62.266666666666666,3736,target_rps60.00_iter01_rps62.27_lat.csv
4787,158762,30092.09383378016,28079.5,60971.099999999984,80990.06000000001,16990.537128503496,62.166666666666664,62.166666666666664,3730,target_rps60.00_iter02_rps62.17_lat.csv
4499,130502,28781.780363830927,27468.5,58096.69999999995,75272.57,15758.73756556748,62.3,62.3,3738,target_rps60.00_iter03_rps62.30_lat.csv
4570,147359,27928.437335493014,24261.0,64301.79999999998,85965.7,19152.272764167563,82.31666666666666,82.31666666666666,4939,target_rps80.00_iter01_rps82.32_lat.csv
4561,129555,27957.958854376764,25857.5,58350.549999999996,80313.93000000011,16739.575612845925,82.63333333333334,82.63333333333334,4958,target_rps80.00_iter02_rps82.63_lat.csv
4467,145829,27247.67069486405,23816.0,58807.600000000006,79766.39999999986,16984.917580341513,82.75,82.75,4965,target_rps80.00_iter03_rps82.75_lat.csv
4556,183953,28729.926729986433,23500.0,66611.25,94095.15000000013,19930.011841094103,98.26666666666667,98.26666666666667,5896,target_rps100.00_iter01_rps98.27_lat.csv
