2025-08-19T14:07:48+01:00  14:07:48 up 2 days, 53 min,  1 user,  load average: 2.37, 14.86, 23.36
2025-08-19T14:07:53+01:00  14:07:53 up 2 days, 53 min,  1 user,  load average: 2.82, 14.75, 23.28
2025-08-19T14:07:58+01:00  14:07:58 up 2 days, 53 min,  1 user,  load average: 2.99, 14.59, 23.18
2025-08-19T14:08:03+01:00  14:08:03 up 2 days, 53 min,  1 user,  load average: 4.04, 14.61, 23.14
2025-08-19T14:08:08+01:00  14:08:08 up 2 days, 53 min,  1 user,  load average: 3.95, 14.42, 23.03
2025-08-19T14:08:13+01:00  14:08:13 up 2 days, 53 min,  1 user,  load average: 4.20, 14.29, 22.95
2025-08-19T14:08:18+01:00  14:08:18 up 2 days, 53 min,  1 user,  load average: 4.26, 14.14, 22.85
2025-08-19T14:08:23+01:00  14:08:23 up 2 days, 53 min,  1 user,  load average: 5.12, 14.15, 22.81
2025-08-19T14:08:28+01:00  14:08:28 up 2 days, 54 min,  1 user,  load average: 5.59, 14.10, 22.74
2025-08-19T14:08:33+01:00  14:08:33 up 2 days, 54 min,  1 user,  load average: 6.35, 14.12, 22.70
2025-08-19T14:08:38+01:00  14:08:38 up 2 days, 54 min,  1 user,  load average: 6.16, 13.95, 22.60
2025-08-19T14:08:43+01:00  14:08:43 up 2 days, 54 min,  1 user,  load average: 6.23, 13.83, 22.52
2025-08-19T14:08:48+01:00  14:08:48 up 2 days, 54 min,  1 user,  load average: 6.37, 13.74, 22.44
2025-08-19T14:08:53+01:00  14:08:53 up 2 days, 54 min,  1 user,  load average: 7.62, 13.87, 22.44
2025-08-19T14:08:58+01:00  14:08:58 up 2 days, 54 min,  1 user,  load average: 7.89, 13.82, 22.37
2025-08-19T14:09:03+01:00  14:09:03 up 2 days, 54 min,  1 user,  load average: 8.38, 13.83, 22.33
2025-08-19T14:09:08+01:00  14:09:08 up 2 days, 54 min,  1 user,  load average: 8.51, 13.76, 22.26
2025-08-19T14:09:13+01:00  14:09:13 up 2 days, 54 min,  1 user,  load average: 9.11, 13.80, 22.23
2025-08-19T14:09:18+01:00  14:09:18 up 2 days, 54 min,  1 user,  load average: 9.50, 13.80, 22.18
2025-08-19T14:09:23+01:00  14:09:23 up 2 days, 54 min,  1 user,  load average: 9.70, 13.77, 22.13
2025-08-19T14:09:28+01:00  14:09:28 up 2 days, 55 min,  1 user,  load average: 9.41, 13.64, 22.04
2025-08-19T14:09:33+01:00  14:09:33 up 2 days, 55 min,  1 user,  load average: 9.77, 13.65, 22.00
2025-08-19T14:09:38+01:00  14:09:38 up 2 days, 55 min,  1 user,  load average: 9.31, 13.49, 21.90
2025-08-19T14:09:43+01:00  14:09:43 up 2 days, 55 min,  1 user,  load average: 9.13, 13.38, 21.82
2025-08-19T14:09:48+01:00  14:09:48 up 2 days, 55 min,  1 user,  load average: 8.95, 13.28, 21.74
2025-08-19T14:09:53+01:00  14:09:53 up 2 days, 55 min,  1 user,  load average: 8.96, 13.20, 21.67
2025-08-19T14:09:58+01:00  14:09:58 up 2 days, 55 min,  1 user,  load average: 9.68, 13.29, 21.65
2025-08-19T14:10:03+01:00  14:10:03 up 2 days, 55 min,  1 user,  load average: 9.39, 13.16, 21.57
2025-08-19T14:10:08+01:00  14:10:08 up 2 days, 55 min,  1 user,  load average: 8.88, 13.00, 21.47
2025-08-19T14:10:13+01:00  14:10:13 up 2 days, 55 min,  1 user,  load average: 9.21, 13.00, 21.42
2025-08-19T14:10:18+01:00  14:10:18 up 2 days, 55 min,  1 user,  load average: 9.03, 12.90, 21.35
2025-08-19T14:10:23+01:00  14:10:23 up 2 days, 55 min,  1 user,  load average: 9.35, 12.90, 21.30
2025-08-19T14:10:28+01:00  14:10:28 up 2 days, 56 min,  1 user,  load average: 8.92, 12.75, 21.21
2025-08-19T14:10:33+01:00  14:10:33 up 2 days, 56 min,  1 user,  load average: 9.33, 12.77, 21.17
2025-08-19T14:10:38+01:00  14:10:38 up 2 days, 56 min,  1 user,  load average: 9.14, 12.67, 21.09
2025-08-19T14:10:43+01:00  14:10:43 up 2 days, 56 min,  1 user,  load average: 9.85, 12.76, 21.07
2025-08-19T14:10:48+01:00  14:10:48 up 2 days, 56 min,  1 user,  load average: 9.30, 12.60, 20.98
2025-08-19T14:10:53+01:00  14:10:53 up 2 days, 56 min,  1 user,  load average: 8.80, 12.44, 20.88
2025-08-19T14:10:58+01:00  14:10:58 up 2 days, 56 min,  1 user,  load average: 8.09, 12.23, 20.77
2025-08-19T14:11:03+01:00  14:11:03 up 2 days, 56 min,  1 user,  load average: 7.44, 12.03, 20.66
2025-08-19T14:11:08+01:00  14:11:08 up 2 days, 56 min,  1 user,  load average: 7.65, 12.00, 20.60
2025-08-19T14:11:13+01:00  14:11:13 up 2 days, 56 min,  1 user,  load average: 8.72, 12.15, 20.60
2025-08-19T14:11:18+01:00  14:11:18 up 2 days, 56 min,  1 user,  load average: 8.90, 12.13, 20.55
2025-08-19T14:11:23+01:00  14:11:23 up 2 days, 56 min,  1 user,  load average: 8.35, 11.96, 20.45
2025-08-19T14:11:28+01:00  14:11:28 up 2 days, 57 min,  1 user,  load average: 8.24, 11.88, 20.38
2025-08-19T14:11:33+01:00  14:11:33 up 2 days, 57 min,  1 user,  load average: 8.14, 11.80, 20.31
2025-08-19T14:11:38+01:00  14:11:38 up 2 days, 57 min,  1 user,  load average: 7.81, 11.67, 20.22
2025-08-19T14:11:43+01:00  14:11:43 up 2 days, 57 min,  1 user,  load average: 8.62, 11.77, 20.20
2025-08-19T14:11:48+01:00  14:11:48 up 2 days, 57 min,  1 user,  load average: 9.30, 11.86, 20.19
2025-08-19T14:11:53+01:00  14:11:53 up 2 days, 57 min,  1 user,  load average: 10.63, 12.09, 20.22
2025-08-19T14:11:58+01:00  14:11:58 up 2 days, 57 min,  1 user,  load average: 10.42, 12.02, 20.15
2025-08-19T14:12:03+01:00  14:12:03 up 2 days, 57 min,  1 user,  load average: 10.55, 12.02, 20.11
2025-08-19T14:12:08+01:00  14:12:08 up 2 days, 57 min,  1 user,  load average: 10.75, 12.04, 20.07
2025-08-19T14:12:13+01:00  14:12:13 up 2 days, 57 min,  1 user,  load average: 10.20, 11.91, 19.98
