target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,18.17,19.39,18.17,20.00,97.0
40.00,39.97,39.98,39.93,39.96,39.93,39.98,99.9
60.00,62.17,62.31,62.28,62.25,62.17,62.31,103.8
80.00,82.57,82.73,82.65,82.65,82.57,82.73,103.3
100.00,98.67,98.22,98.13,98.34,98.13,98.67,98.3
120.00,121.35,122.03,121.77,121.72,121.35,122.03,101.4
140.00,137.13,136.32,138.20,137.22,136.32,138.20,98.0
160.00,159.68,157.31,158.48,158.49,157.31,159.68,99.1
180.00,185.45,185.73,185.00,185.39,185.00,185.73,103.0
200.00,186.75,183.38,184.13,184.75,183.38,186.75,92.4
220.00,222.40,219.07,221.68,221.05,219.07,222.40,100.5
240.00,219.16,222.00,220.83,220.66,219.16,222.00,91.9
260.00,277.26,275.80,274.59,275.88,274.59,277.26,106.1
280.00,274.98,271.32,269.71,272.00,269.71,274.98,97.1
300.00,274.45,273.85,272.91,273.74,272.91,274.45,91.2
320.00,277.99,266.91,272.90,272.60,266.91,277.99,85.2
340.00,342.42,328.01,345.24,338.56,328.01,345.24,99.6
360.00,337.76,347.81,344.20,343.26,337.76,347.81,95.3
380.00,334.97,325.11,348.52,336.20,325.11,348.52,88.5
400.00,348.41,340.67,357.81,348.96,340.67,357.81,87.2
420.00,345.68,351.12,334.83,343.88,334.83,351.12,81.9
440.00,328.31,345.68,333.17,335.72,328.31,345.68,76.3
460.00,337.95,337.38,340.53,338.62,337.38,340.53,73.6
480.00,341.76,341.50,338.08,340.45,338.08,341.76,70.9
500.00,343.63,345.42,348.43,345.83,343.63,348.43,69.2

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,348.41,400.00
Max Iter2,351.12,420.00
Max Iter3,357.81,400.00
Overall Max,357.81,400.00
Avg of Max,352.45,
