rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_python_b5,3,1200.0,0.0,1200,1200,6921.0,1187.4611572594702,5769,8141,197393.0,133201.10173343163,102816,349724,28618.77861111111,1102.6328817694757,27345.864166666666,29279.024166666666,26695.833333333332,965.8056654075566,25990.0,27796.5,45255.71666666667,2900.0682967532543,42388.6,48187.649999999994,62685.27333333331,4750.048519345142,58066.67999999999,67556.67999999992,20.0,0.0,20.0,20.0,1200.0,6921.0,197393.0,28618.77861111111,26695.833333333332,45255.71666666667,62685.27333333331,20.0
40,60,fibonacci_python_b5,3,2397.6666666666665,1.5275252316519465,2396,2399,6457.0,256.0234364272146,6199,6711,211739.0,129073.48033968869,130582,360577,30123.44008729274,2420.664853996585,27612.36227045075,32442.221434528776,27968.333333333332,2075.902293782955,25783.0,29914.0,58474.6,4484.903789101833,53409.75,61942.35,81029.56333333351,6272.659290781984,75188.90000000026,87659.51000000026,39.96111111111111,0.025458753860868207,39.93333333333333,39.983333333333334,2397.6666666666665,6457.0,211739.0,30123.44008729274,27968.333333333332,58474.6,81029.56333333351,39.96111111111111
60,60,fibonacci_python_b5,3,3735.3333333333335,4.725815626252609,3730,3739,6042.333333333333,297.50350137995576,5799,6374,169538.0,20021.394531850172,152845,191736,32839.51997717057,2182.1204828734303,30323.941160738166,34221.997859245384,29304.666666666668,2441.9028099687616,26504.0,30988.0,69334.51666666665,3087.844886135523,65869.4,71794.75,91765.22666666664,3120.9712661499425,88843.21999999994,95052.94000000002,62.25555555555555,0.07876359377087909,62.166666666666664,62.31666666666667,3735.3333333333335,6042.333333333333,169538.0,32839.51997717057,29304.666666666668,69334.51666666665,91765.22666666664,62.25555555555555
80,60,fibonacci_python_b5,3,4959.0,5.0,4954,4964,5886.333333333333,184.86301234517774,5734,6092,374620.3333333333,236919.8752581415,209317,646050,34698.22465685044,864.6395968763527,33881.254029008865,35603.72191974188,30741.166666666668,756.0063381568526,29896.0,31353.0,72667.71666666662,1331.3628321510446,71867.34999999996,74204.5999999999,99153.54666666669,3288.74552515601,95388.72999999998,101466.61000000012,82.65,0.0833333333333357,82.56666666666666,82.73333333333333,4959.0,5886.333333333333,374620.3333333333,34698.22465685044,30741.166666666668,72667.71666666662,99153.54666666669,82.65
100,60,fibonacci_python_b5,3,5900.333333333333,17.214335111567145,5888,5920,6224.666666666667,194.32275557261258,6002,6360,325543.6666666667,271795.65182749584,163155,639322,37222.97867452384,1489.7886272514006,36081.820804344134,38908.362162162164,32158.166666666668,2016.1958196894798,30748.0,34467.5,80209.63333333332,1069.0790947508926,79548.84999999995,81443.05,110207.16666666667,2016.5458586735208,108266.44000000005,112291.82000000004,98.33888888888889,0.28690558519278564,98.13333333333334,98.66666666666667,5900.333333333333,6224.666666666667,325543.6666666667,37222.97867452384,32158.166666666668,80209.63333333332,110207.16666666667,98.33888888888889
120,60,fibonacci_python_b5,3,7303.0,20.663978319771825,7281,7322,6109.333333333333,619.5258939974449,5543,6771,216759.0,26298.602833610763,189930,242493,40995.55101260647,2084.847926806348,38731.237612920886,42835.70100260953,35809.833333333336,3005.9238319247766,32353.0,37809.0,88796.68333333333,3118.907384940014,86974.29999999999,92398.0,119229.84999999998,3790.359451621952,116055.7,123426.59999999996,121.71666666666665,0.3443996386628658,121.35,122.03333333333333,7303.0,6109.333333333333,216759.0,40995.55101260647,35809.833333333336,88796.68333333333,119229.84999999998,121.71666666666665
140,60,fibonacci_python_b5,3,8233.0,56.66568626602876,8179,8292,6517.333333333333,565.6379878803521,5881,6963,321588.3333333333,157399.14530369386,210560,501718,44784.659884933404,2211.2932948788016,42254.47178002894,46347.1243315508,39742.5,2421.4994837909835,37029.0,41683.5,94859.89999999997,3896.9217701282964,90402.54999999999,97622.44999999994,125051.68,3984.7248486313515,120717.47000000003,128556.32000000012,137.21666666666667,0.9444281044338089,136.31666666666666,138.2,8233.0,6517.333333333333,321588.3333333333,44784.659884933404,39742.5,94859.89999999997,125051.68,137.21666666666667
160,60,fibonacci_python_b5,3,9510.666666666666,69.51498639382254,9442,9581,6742.0,548.2216704947006,6109,7064,350161.6666666667,163329.34130257592,252728,538723,45863.06540582405,1243.8792662484627,45144.37751800438,47299.373331921204,40234.333333333336,1209.2974544475537,39339.0,41610.0,98307.54999999997,1394.4441392540396,97134.4,99849.24999999996,136508.59000000005,6918.23352967358,129934.64000000003,143726.13,158.5111111111111,1.1585831065637073,157.36666666666667,159.68333333333334,9510.666666666666,6742.0,350161.6666666667,45863.06540582405,40234.333333333336,98307.54999999997,136508.59000000005,158.5111111111111
180,60,fibonacci_python_b5,3,11124.333333333334,21.1266025033211,11102,11144,6127.666666666667,182.6946450592719,5961,6323,424476.0,279304.97923775006,260149,746970,51763.182482972006,2808.273176634926,48521.457017229004,53453.4010964321,46240.333333333336,3117.823974077647,42716.0,48639.0,107473.36666666665,4108.475552541751,103124.35,111289.24999999999,146551.82666666663,6455.915183963719,140371.53999999998,153251.93999999997,185.40555555555554,0.35211004172201243,185.03333333333333,185.73333333333332,11124.333333333334,6127.666666666667,424476.0,51763.182482972006,46240.333333333336,107473.36666666665,146551.82666666663,185.40555555555554
200,60,fibonacci_python_b5,3,11085.333333333334,106.04873093692981,11003,11205,6857.333333333333,686.7418243658481,6133,7499,446424.6666666667,169985.6399709497,283105,622372,56855.57230445959,1355.9158760543826,55291.065506470324,57690.23488414192,50556.0,2092.1080278035356,48342.0,52500.0,119901.96666666663,3990.3399734024565,116800.09999999998,124403.6,166417.26000000004,7646.1000051267,157999.84000000014,172933.15999999997,184.75555555555556,1.7674788489488344,183.38333333333333,186.75,11085.333333333334,6857.333333333333,446424.6666666667,56855.57230445959,50556.0,119901.96666666663,166417.26000000004,184.75555555555556
