target_rps,iter1_achieved,iter2_achieved,iter3_achieved,avg_achieved,min_achieved,max_achieved,efficiency_pct
20.00,20.00,20.00,20.00,20.00,20.00,20.00,100.0
40.00,40.00,40.00,39.98,39.99,39.98,40.00,100.0
60.00,62.47,62.47,62.18,62.37,62.18,62.47,104.0
80.00,83.25,83.15,82.97,83.12,82.97,83.25,103.9
100.00,99.73,99.72,99.83,99.76,99.72,99.83,99.8
120.00,124.22,124.06,123.73,124.00,123.73,124.22,103.3
140.00,141.76,141.53,141.27,141.52,141.27,141.76,101.1
160.00,164.42,164.50,164.02,164.31,164.02,164.50,102.7
180.00,197.07,195.97,196.80,196.61,195.97,197.07,109.2
200.00,196.38,197.42,197.11,196.97,196.38,197.42,98.5
220.00,243.85,242.85,243.36,243.35,242.85,243.85,110.6
240.00,242.50,242.11,245.15,243.25,242.11,245.15,101.4
260.00,321.66,318.83,318.14,319.54,318.14,321.66,122.9
280.00,318.11,319.28,321.51,319.63,318.11,321.51,114.2
300.00,318.25,316.13,321.78,318.72,316.13,321.78,106.2
320.00,319.98,318.56,321.28,319.94,318.56,321.28,100.0
340.00,444.88,444.52,443.00,444.13,443.00,444.88,130.6
360.00,444.46,445.81,445.36,445.21,444.46,445.81,123.7
380.00,441.20,443.62,442.62,442.48,441.20,443.62,116.4
400.00,444.06,435.20,442.81,440.69,435.20,444.06,110.2
420.00,444.54,445.18,444.55,444.76,444.54,445.18,105.9
440.00,442.12,443.88,439.97,441.99,439.97,443.88,100.5
460.00,445.61,443.30,440.55,443.15,440.55,445.61,96.3
480.00,439.08,441.84,447.02,442.65,439.08,447.02,92.2
500.00,445.35,445.08,438.12,442.85,438.12,445.35,88.6

=== MAXIMUM ACHIEVED RPS SUMMARY ===
Metric,Value,Target_RPS
Max Iter1,445.61,460.00
Max Iter2,445.81,360.00
Max Iter3,447.02,480.00
Overall Max,447.02,480.00
Avg of Max,446.15,
