min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
4136,51261,6765.7025,6149.5,9901.3,18348.14,2741.775098482809,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
4588,45842,6865.799166666667,6327.0,10101.249999999996,18830.139999999992,2594.173727252277,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
4463,24959,6835.918333333333,6309.5,9829.349999999991,17459.289999999997,2118.58101607276,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
4117,79472,6917.26375,6139.5,11097.999999999995,20231.919999999907,3335.2843500746085,40.0,40.0,2400,target_rps40.00_iter01_rps40.00_lat.csv
4158,37218,6477.512713630679,5854.0,10027.8,17789.76,2432.212690460913,39.983333333333334,39.983333333333334,2399,target_rps40.00_iter02_rps39.98_lat.csv
4004,50559,6638.583402835697,6015.5,10295.300000000003,17563.97000000004,2605.8826949854792,39.96666666666667,39.96666666666667,2398,target_rps40.00_iter03_rps39.97_lat.csv
4051,548924,6883.913243243243,5988.5,11038.399999999998,19364.59999999994,9343.592785796991,61.666666666666664,61.666666666666664,3700,target_rps60.00_iter01_rps61.67_lat.csv
4011,40624,6417.745930077395,5797.0,10113.3,18080.4,2434.1986929559002,62.45,62.45,3747,target_rps60.00_iter02_rps62.45_lat.csv
3578,54795,6325.319893190921,5705.0,9963.199999999997,17497.28,2609.420394736491,62.416666666666664,62.416666666666664,3745,target_rps60.00_iter03_rps62.42_lat.csv
3523,45839,6103.53608040201,5458.0,9498.000000000002,18446.04,2705.5162477220783,82.91666666666667,82.91666666666667,4975,target_rps80.00_iter01_rps82.92_lat.csv
3416,48281,6215.970700381296,5512.0,10222.599999999999,18529.560000000012,2755.591685203992,83.05,83.05,4983,target_rps80.00_iter02_rps83.05_lat.csv
3470,96025,6351.895306859205,5488.5,10687.75,20091.04999999998,3665.6969737171084,83.1,83.1,4986,target_rps80.00_iter03_rps83.10_lat.csv
3392,493863,6174.407051282052,5400.0,9982.949999999999,19104.659999999938,6942.237421547646,98.8,98.8,5928,target_rps100.00_iter01_rps98.80_lat.csv
3467,51833,6529.175159235669,5651.5,11554.25,20793.900000000005,3234.8703800599556,99.43333333333334,99.43333333333334,5966,target_rps100.00_iter02_rps99.43_lat.csv
3678,39391,6337.422118119458,5555.0,10687.199999999999,18563.679999999993,2742.1733765701524,99.61666666666666,99.61666666666666,5977,target_rps100.00_iter03_rps99.62_lat.csv
3333,51372,6369.548317631225,5420.0,11600.449999999986,19643.250000000004,3235.6947027974015,123.83333333333333,123.83333333333333,7430,target_rps120.00_iter01_rps123.83_lat.csv
3424,92506,6474.200594755339,5442.5,12352.249999999995,21937.469999999987,3607.165997000393,123.3,123.3,7398,target_rps120.00_iter02_rps123.30_lat.csv
3428,57951,6217.9907133243605,5364.5,11081.799999999988,19861.18,3095.654830248838,123.83333333333333,123.83333333333333,7430,target_rps120.00_iter03_rps123.83_lat.csv
3455,53335,6425.8937403857535,5352.0,12710.5,22314.0,3523.5101279001715,140.85,140.85,8451,target_rps140.00_iter01_rps140.83_lat.csv
3427,56660,6165.456693843791,5308.0,10871.699999999995,19654.159999999934,3095.6898773674725,141.05,141.05,8463,target_rps140.00_iter02_rps141.05_lat.csv
3355,36804,5917.531341879337,5202.0,10059.9,17065.59999999999,2439.911968136185,141.71666666666667,141.71666666666667,8503,target_rps140.00_iter03_rps141.71_lat.csv
