rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_python_c3,3,1200.0,0.0,1200,1200,4395.666666666667,233.40165666364354,4136,4588,40687.333333333336,13888.007140455153,24959,51261,6822.473333333332,51.384936393795634,6765.7025,6865.799166666667,6262.0,97.81998773256926,6149.5,6327.0,9943.966666666662,140.88199258008027,9829.349999999991,10101.249999999996,18212.52333333333,695.4145100825339,17459.289999999997,18830.139999999992,20.0,0.0,20.0,20.0,1200.0,4395.666666666667,40687.333333333336,6822.473333333332,6262.0,9943.966666666662,18212.52333333333,20.0
40,60,fibonacci_python_c3,3,2399.0,1.0,2398,2400,4093.0,79.75587752636166,4004,4158,55749.666666666664,21599.93968355776,37218,79472,6677.786622155458,222.48126393192746,6477.512713630679,6917.26375,6003.0,143.1598756635392,5854.0,6139.5,10473.699999999999,556.9577452554156,10027.8,11097.999999999995,18528.549999999985,1479.475345755989,17563.97000000004,20231.919999999907,39.983333333333334,0.01666666666666572,39.96666666666667,40.0,2399.0,4093.0,55749.666666666664,6677.786622155458,6003.0,10473.699999999999,18528.549999999985,39.983333333333334
60,60,fibonacci_python_c3,3,3730.6666666666665,26.576932353703526,3700,3747,3880.0,262.3032596061284,3578,4051,214781.0,289463.05920963385,40624,548924,6542.326355503853,299.4108289294945,6325.319893190921,6883.913243243243,5830.166666666667,144.63085194153194,5705.0,5988.5,10371.633333333331,582.2936057809095,9963.199999999997,11038.399999999998,18314.093333333312,955.3430934137073,17497.28,19364.59999999994,62.17777777777778,0.44294887256172705,61.666666666666664,62.45,3730.6666666666665,3880.0,214781.0,6542.326355503853,5830.166666666667,10371.633333333331,18314.093333333312,62.17777777777778
80,60,fibonacci_python_c3,3,4981.333333333333,5.686240703077327,4975,4986,3469.6666666666665,53.500778810530726,3416,3523,63381.666666666664,28296.31158531679,45839,96025,6223.800695880837,124.36461700880291,6103.53608040201,6351.895306859205,5486.166666666667,27.0755116910712,5458.0,5512.0,10136.116666666667,599.571339236068,9498.000000000002,10687.75,19022.216666666664,926.5783390697769,18446.04,20091.04999999998,83.02222222222223,0.09477067838461672,82.91666666666667,83.1,4981.333333333333,3469.6666666666665,63381.666666666664,6223.800695880837,5486.166666666667,10136.116666666667,19022.216666666664,83.02222222222223
100,60,fibonacci_python_c3,3,5957.0,25.709920264364882,5928,5977,3512.3333333333335,148.2913798348823,3392,3678,195029.0,258872.5951274101,39391,493863,6347.00144287906,177.57794120437572,6174.407051282052,6529.175159235669,5535.5,126.87887925104005,5400.0,5651.5,10741.466666666665,787.0543665042043,9982.949999999999,11554.25,19487.413333333312,1163.3337430562951,18563.679999999993,20793.900000000005,99.28333333333335,0.4284986710727477,98.8,99.61666666666666,5957.0,3512.3333333333335,195029.0,6347.00144287906,5535.5,10741.466666666665,19487.413333333312,99.28333333333335
120,60,fibonacci_python_c3,3,7419.333333333333,18.475208614068027,7398,7430,3395.0,53.73081052803875,3333,3428,67276.33333333333,22095.765891530744,51372,92506,6353.913208570309,128.8185480131998,6217.9907133243605,6474.200594755339,5409.0,40.14660633229165,5364.5,5442.5,11678.166666666657,638.7806437528752,11081.799999999988,12352.249999999995,20480.633333333328,1266.3542854325208,19643.250000000004,21937.469999999987,123.65555555555555,0.30792014356779934,123.3,123.83333333333333,7419.333333333333,3395.0,67276.33333333333,6353.913208570309,5409.0,11678.166666666657,20480.633333333328,123.65555555555555
140,60,fibonacci_python_c3,3,8472.333333333334,27.227437142216182,8451,8503,3412.3333333333335,51.58811232574161,3355,3455,48933.0,10634.772541056062,36804,56660,6169.627258702961,254.20685919587743,5917.531341879337,6425.8937403857535,5287.333333333333,77.10598766200543,5202.0,5352.0,11214.033333333333,1358.0552909706346,10059.9,12710.5,19677.919999999973,2624.2806715745983,17065.59999999999,22314.0,141.20555555555555,0.45379061903693774,140.85,141.71666666666667,8472.333333333334,3412.3333333333335,48933.0,6169.627258702961,5287.333333333333,11214.033333333333,19677.919999999973,141.20555555555555
160,60,fibonacci_python_c3,3,9843.0,13.076696830622021,9828,9852,3194.3333333333335,68.01715469889442,3122,3257,55194.333333333336,15982.338825507777,40777,72380,6298.025881637797,120.02668104912144,6210.124682708904,6434.774318274318,5304.833333333333,50.48844752350119,5248.0,5344.5,12124.98333333333,335.6898134190701,11912.0,12511.949999999992,20515.94333333333,1513.382210624036,19347.209999999992,22225.419999999976,164.05,0.21794494717702456,163.8,164.2,9843.0,3194.3333333333335,55194.333333333336,6298.025881637797,5304.833333333333,12124.98333333333,20515.94333333333,164.05
180,60,fibonacci_python_c3,3,11770.0,24.020824298928627,11751,11797,3307.0,58.92367945062494,3243,3359,69675.0,25203.77781206619,47839,97255,6570.162344557037,87.42292158115193,6478.517673984911,6652.6413024995745,5495.666666666667,60.04442799572108,5437.0,5557.0,12731.59999999999,381.26090804067366,12302.999999999995,13033.0,21241.83666666665,1184.8947476604603,19999.559999999987,22359.5,196.16666666666666,0.4003470716488173,195.85,196.61666666666667,11770.0,3307.0,69675.0,6570.162344557037,5495.666666666667,12731.59999999999,21241.83666666665,196.16666666666666
200,60,fibonacci_python_c3,3,11737.0,35.53871128783372,11696,11759,3365.0,125.69407305040282,3268,3507,67549.33333333333,15694.567860675023,49563,78463,6750.483534937455,111.26147646897327,6681.896563456959,6878.8567031463745,5624.0,45.92385001282014,5572.0,5659.0,13313.766666666668,866.640157927921,12653.0,14295.0,22263.119999999984,1313.2700001141554,21050.500000000036,23657.999999999913,195.61666666666665,0.5923118547972235,194.93333333333334,195.98333333333332,11737.0,3365.0,67549.33333333333,6750.483534937455,5624.0,13313.766666666668,22263.119999999984,195.61666666666665
220,60,fibonacci_python_c3,3,14499.666666666666,87.01915497942583,14406,14578,3017.3333333333335,86.3268980870582,2927,3099,76010.0,25747.6485722483,50313,101808,7106.691698402347,218.4845031355284,6895.350391000137,7331.679647369152,5842.166666666667,67.68739419813214,5765.0,5891.5,14620.616666666663,945.1835937178209,13795.3,15651.75,23964.760000000006,2501.5615734177245,21789.719999999972,26698.400000000038,241.66111111111113,1.4503192496571005,240.1,242.96666666666667,14499.666666666666,3017.3333333333335,76010.0,7106.691698402347,5842.166666666667,14620.616666666663,23964.760000000006,241.66111111111113
240,60,fibonacci_python_c3,3,14524.333333333334,33.605555096342826,14495,14561,3135.0,95.64517760974674,3061,3243,76237.33333333333,8382.421746329239,67428,84115,7337.356429710875,117.06654676379476,7213.447544258455,7446.103152256026,6013.333333333333,54.07710544521899,5974.0,6075.0,15365.5,613.2614532155122,14677.599999999997,15855.0,24998.45999999998,1853.4330823636258,22860.4,26149.57999999995,242.07222222222222,0.5600925849390463,241.58333333333334,242.68333333333334,14524.333333333334,3135.0,76237.33333333333,7337.356429710875,6013.333333333333,15365.5,24998.45999999998,242.07222222222222
260,60,fibonacci_python_c3,3,18961.0,68.54925236645546,18888,19024,3202.3333333333335,97.67462993701758,3095,3286,93598.33333333333,3837.144294046464,90251,97786,8455.10625258233,214.1530118886124,8236.300774866902,8664.28190706476,6948.0,78.0,6858.0,6996.0,17984.749999999978,971.2941225498807,17081.5,19012.149999999943,28650.39333333333,1770.323970388873,27196.699999999957,30621.88000000002,316.01666666666665,1.1424875394409169,314.8,317.06666666666666,18961.0,3202.3333333333335,93598.33333333333,8455.10625258233,6948.0,17984.749999999978,28650.39333333333,316.01666666666665
280,60,fibonacci_python_c3,3,18959.333333333332,52.63395608666836,18909,19014,3270.0,111.77208953938367,3202,3399,79357.0,10633.649749733155,69630,90710,8482.835680839378,202.38609342078817,8258.954402019564,8652.810883706172,6988.5,171.9280372714119,6794.5,7122.0,17783.59999999999,501.0855415994321,17392.399999999994,18348.399999999987,28418.346666666635,732.541055868753,27682.619999999974,29147.659999999938,315.9888888888889,0.8772326014444709,315.15,316.9,18959.333333333332,3270.0,79357.0,8482.835680839378,6988.5,17783.59999999999,28418.346666666635,315.9888888888889
300,60,fibonacci_python_c3,3,18959.0,27.874719729532707,18927,18978,3148.0,133.29291053915807,3001,3261,68495.0,18052.591919167728,48140,82565,8395.506447475796,265.1526307919133,8106.217989250711,8626.984187223276,6926.666666666667,104.4345887784949,6806.5,6995.5,17721.266666666663,983.6880416744684,16805.199999999983,18760.9,28307.840000000022,2316.9530280953145,26127.839999999997,30740.96000000002,315.98333333333335,0.4645786621588862,315.45,316.3,18959.0,3148.0,68495.0,8395.506447475796,6926.666666666667,17721.266666666663,28307.840000000022,315.98333333333335
320,60,fibonacci_python_c3,3,18952.333333333332,50.85600587279081,18895,18992,3240.6666666666665,32.51666239535253,3204,3266,113698.0,48760.819855699716,78602,169375,8606.471827946296,168.52081384342182,8421.224726200506,8750.688965334744,7129.333333333333,135.3156802936501,6989.0,7259.0,17955.33333333333,730.9777704098285,17142.350000000002,18558.349999999988,27971.220000000016,1706.0092781693854,26052.860000000008,29318.200000000026,315.87222222222226,0.8476000978798498,314.9166666666667,316.53333333333336,18952.333333333332,3240.6666666666665,113698.0,8606.471827946296,7129.333333333333,17955.33333333333,27971.220000000016,315.87222222222226
340,60,fibonacci_python_c3,3,26522.333333333332,147.7982859620954,26404,26688,3452.3333333333335,170.58819810682488,3285,3626,155080.66666666666,39894.63187364101,117816,197167,12935.831170016643,256.76357713333056,12652.987072841726,13154.239886685553,10423.0,178.6141091851369,10225.0,10572.0,28729.033333333315,748.3204549745423,27867.0,29211.599999999955,44465.956666666665,1079.495207508224,43570.56000000001,45664.65999999993,442.03888888888883,2.4633047660349314,440.06666666666666,444.8,26522.333333333332,3452.3333333333335,155080.66666666666,12935.831170016643,10423.0,28729.033333333315,44465.956666666665,442.03888888888883
360,60,fibonacci_python_c3,3,26334.333333333332,321.68359195540785,25963,26528,3560.6666666666665,282.0147750266524,3277,3841,128084.0,18167.92506039146,108543,144464,13690.920536075124,665.519693130979,13190.184633373567,14446.129183838539,11122.833333333334,469.63132703572205,10842.0,11665.0,30199.899999999983,1892.2884141958905,28611.449999999997,32293.49999999999,46741.42999999999,2515.749441081136,44414.139999999985,49410.66,438.90555555555557,5.3613931992568125,432.71666666666664,442.1333333333333,26334.333333333332,3560.6666666666665,128084.0,13690.920536075124,11122.833333333334,30199.899999999983,46741.42999999999,438.90555555555557
