timestamp,pod_count,cpu_usage_millicores,memory_usage_mib
2025-09-02T06:02:06.091866,8,3,43
2025-09-02T06:02:08.316075,8,3,43
2025-09-02T06:02:10.591360,8,3,43
2025-09-02T06:02:12.814778,8,3,43
2025-09-02T06:02:15.040599,8,179,214
2025-09-02T06:02:17.265742,8,179,214
2025-09-02T06:02:19.533371,8,179,214
2025-09-02T06:02:21.758920,8,179,214
2025-09-02T06:02:23.993735,8,179,214
2025-09-02T06:02:26.232426,8,179,214
2025-09-02T06:02:28.486437,8,111,232
2025-09-02T06:02:30.711193,8,111,232
2025-09-02T06:02:32.978515,8,111,232
2025-09-02T06:02:35.188392,8,111,232
2025-09-02T06:02:37.402145,8,111,232
2025-09-02T06:02:39.619580,8,111,232
2025-09-02T06:02:41.877063,8,111,232
2025-09-02T06:02:44.105740,8,119,244
2025-09-02T06:02:46.419868,8,119,244
2025-09-02T06:02:48.656111,8,119,244
2025-09-02T06:02:50.865454,8,119,244
2025-09-02T06:02:53.139900,8,119,244
2025-09-02T06:02:55.356699,8,119,244
2025-09-02T06:02:57.605731,8,119,244
2025-09-02T06:02:59.845727,8,108,248
2025-09-02T06:03:02.065021,8,108,248
2025-09-02T06:03:04.287435,8,108,248
2025-09-02T06:03:06.588112,8,108,248
2025-09-02T06:03:08.791789,8,108,248
2025-09-02T06:03:11.018104,8,108,248
2025-09-02T06:03:13.223868,8,108,254
2025-09-02T06:03:15.476653,8,108,254
2025-09-02T06:03:17.702206,8,108,254
2025-09-02T06:03:19.945790,8,108,254
2025-09-02T06:03:22.191725,8,108,254
2025-09-02T06:03:24.445914,8,108,254
2025-09-02T06:03:26.715370,8,108,254
2025-09-02T06:03:28.993766,8,109,257
2025-09-02T06:03:31.252286,8,109,257
2025-09-02T06:03:33.469801,8,109,257
2025-09-02T06:03:35.707912,8,109,257
2025-09-02T06:03:37.952408,8,109,257
2025-09-02T06:03:40.185762,8,109,257
2025-09-02T06:03:42.411572,8,109,257
2025-09-02T06:03:44.658743,8,112,261
2025-09-02T06:03:46.901202,8,112,261
2025-09-02T06:03:49.111521,8,112,261
2025-09-02T06:03:51.341819,8,112,261
2025-09-02T06:03:53.556043,8,112,261
2025-09-02T06:03:55.768191,8,112,261
2025-09-02T06:03:57.992876,8,116,262
2025-09-02T06:04:00.245749,8,116,262
2025-09-02T06:04:02.450472,8,116,262
2025-09-02T06:04:04.684958,8,116,262
2025-09-02T06:04:06.907110,8,116,262
2025-09-02T06:04:09.117411,8,116,262
2025-09-02T06:04:11.357731,8,116,262
2025-09-02T06:04:13.565054,8,102,262
2025-09-02T06:04:15.789876,8,102,262
2025-09-02T06:04:18.031981,8,102,262
2025-09-02T06:04:20.248916,8,102,262
2025-09-02T06:04:22.517728,8,102,262
2025-09-02T06:04:24.735194,8,102,262
2025-09-02T06:04:26.939418,8,102,262
2025-09-02T06:04:29.140504,8,97,261
2025-09-02T06:04:31.369757,8,97,261
2025-09-02T06:04:33.577459,8,97,261
2025-09-02T06:04:35.782400,8,97,261
2025-09-02T06:04:37.986714,8,97,261
2025-09-02T06:04:40.182945,8,97,261
2025-09-02T06:04:42.393773,8,97,261
2025-09-02T06:04:44.595380,8,99,264
2025-09-02T06:04:46.801771,8,99,264
2025-09-02T06:04:49.016905,8,99,264
2025-09-02T06:04:51.259127,8,99,264
2025-09-02T06:04:53.467880,8,99,264
2025-09-02T06:04:55.691489,8,99,264
2025-09-02T06:04:57.952152,8,109,265
2025-09-02T06:05:00.197928,8,109,265
2025-09-02T06:05:02.411634,8,109,265
2025-09-02T06:05:04.651466,8,109,265
2025-09-02T06:05:06.891526,8,109,265
2025-09-02T06:05:09.091086,8,109,265
2025-09-02T06:05:11.292910,8,109,265
2025-09-02T06:05:13.507733,8,102,264
2025-09-02T06:05:15.769257,8,102,264
2025-09-02T06:05:17.974532,8,102,264
2025-09-02T06:05:20.340117,8,102,264
2025-09-02T06:05:22.572388,8,102,264
2025-09-02T06:05:24.843383,8,102,264
2025-09-02T06:05:27.079909,8,102,264
2025-09-02T06:05:29.312705,8,90,264
2025-09-02T06:05:31.586876,8,90,264
2025-09-02T06:05:33.812076,8,90,264
2025-09-02T06:05:36.074462,8,90,264
2025-09-02T06:05:38.314906,8,90,264
2025-09-02T06:05:40.547417,8,90,264
2025-09-02T06:05:42.854844,8,90,264
2025-09-02T06:05:45.126029,8,158,265
2025-09-02T06:05:47.365751,8,158,265
2025-09-02T06:05:49.593727,8,158,265
2025-09-02T06:05:51.831167,8,158,265
2025-09-02T06:05:54.026916,8,158,265
2025-09-02T06:05:56.226916,8,158,265
2025-09-02T06:05:58.459178,8,180,265
2025-09-02T06:06:00.684935,8,180,265
2025-09-02T06:06:02.955856,8,180,265
2025-09-02T06:06:05.196253,8,180,265
2025-09-02T06:06:07.407675,8,180,265
2025-09-02T06:06:09.663707,8,180,265
2025-09-02T06:06:11.893748,8,180,265
2025-09-02T06:06:14.117761,8,182,264
2025-09-02T06:06:16.369764,8,182,264
2025-09-02T06:06:18.574167,8,182,264
2025-09-02T06:06:20.801586,8,182,264
2025-09-02T06:06:23.038717,8,182,264
2025-09-02T06:06:25.259807,8,182,264
2025-09-02T06:06:27.473865,8,182,264
2025-09-02T06:06:29.719849,8,164,265
2025-09-02T06:06:32.016386,8,164,265
2025-09-02T06:06:34.266092,8,164,265
2025-09-02T06:06:36.582534,8,164,265
2025-09-02T06:06:38.851845,8,164,265
2025-09-02T06:06:41.102482,8,164,265
2025-09-02T06:06:43.576992,8,173,265
2025-09-02T06:06:45.806174,8,173,265
2025-09-02T06:06:48.032906,8,173,265
2025-09-02T06:06:50.234332,8,173,265
2025-09-02T06:06:52.457428,8,173,265
2025-09-02T06:06:54.671473,8,173,265
2025-09-02T06:06:56.916313,8,173,265
2025-09-02T06:06:59.128883,8,179,264
2025-09-02T06:07:01.367080,8,179,264
2025-09-02T06:07:03.593211,8,179,264
2025-09-02T06:07:05.801779,8,179,264
2025-09-02T06:07:08.053731,8,179,264
2025-09-02T06:07:10.284768,8,179,264
2025-09-02T06:07:12.517781,8,179,264
2025-09-02T06:07:14.776228,8,184,266
2025-09-02T06:07:17.028134,8,184,266
2025-09-02T06:07:19.321096,8,184,266
2025-09-02T06:07:21.550260,8,184,266
2025-09-02T06:07:23.765740,8,184,266
2025-09-02T06:07:25.990068,8,184,266
2025-09-02T06:07:28.216875,8,166,266
2025-09-02T06:07:30.433758,8,166,266
2025-09-02T06:07:32.673812,8,166,266
2025-09-02T06:07:34.928311,8,166,266
2025-09-02T06:07:37.157270,8,166,266
2025-09-02T06:07:39.400905,8,166,266
2025-09-02T06:07:41.630340,8,166,266
2025-09-02T06:07:43.865730,8,174,265
2025-09-02T06:07:46.102139,8,174,265
2025-09-02T06:07:48.345691,8,174,265
2025-09-02T06:07:50.586952,8,174,265
2025-09-02T06:07:52.809848,8,174,265
2025-09-02T06:07:55.061531,8,174,265
2025-09-02T06:07:57.301729,8,174,265
2025-09-02T06:07:59.534756,8,181,266
2025-09-02T06:08:01.786368,8,181,266
2025-09-02T06:08:04.008873,8,181,266
2025-09-02T06:08:06.227396,8,181,266
2025-09-02T06:08:08.472860,8,181,266
2025-09-02T06:08:10.701763,8,181,266
2025-09-02T06:08:12.981482,8,175,267
2025-09-02T06:08:15.253795,8,175,267
2025-09-02T06:08:17.481875,8,175,267
2025-09-02T06:08:19.707597,8,175,267
2025-09-02T06:08:21.953752,8,175,267
2025-09-02T06:08:24.204390,8,175,267
2025-09-02T06:08:26.449538,8,175,267
2025-09-02T06:08:28.653149,8,167,266
2025-09-02T06:08:30.872476,8,167,266
2025-09-02T06:08:33.164368,8,167,266
2025-09-02T06:08:35.398955,8,167,266
2025-09-02T06:08:37.612764,8,167,266
2025-09-02T06:08:39.883594,8,167,266
2025-09-02T06:08:42.133769,8,167,266
2025-09-02T06:08:44.402444,8,141,266
2025-09-02T06:08:46.669732,8,141,266
2025-09-02T06:08:48.874534,8,141,266
2025-09-02T06:08:51.112476,8,141,266
2025-09-02T06:08:53.345779,8,141,266
2025-09-02T06:08:55.583920,8,141,266
2025-09-02T06:08:57.829811,8,141,266
2025-09-02T06:09:00.105863,8,234,267
2025-09-02T06:09:02.365134,8,234,267
2025-09-02T06:09:04.628751,8,234,267
2025-09-02T06:09:06.857779,8,234,267
2025-09-02T06:09:09.078646,8,234,267
2025-09-02T06:09:11.306378,8,234,267
2025-09-02T06:09:13.531624,8,262,269
2025-09-02T06:09:15.807942,8,262,269
2025-09-02T06:09:18.059778,8,262,269
2025-09-02T06:09:20.354842,8,262,269
2025-09-02T06:09:22.565755,8,262,269
2025-09-02T06:09:24.799056,8,262,269
2025-09-02T06:09:27.030885,8,262,269
2025-09-02T06:09:29.286482,8,253,267
2025-09-02T06:09:31.552275,8,253,267
2025-09-02T06:09:33.777344,8,253,267
2025-09-02T06:09:36.126750,8,253,267
2025-09-02T06:09:38.499503,8,253,267
2025-09-02T06:09:40.758034,8,253,267
2025-09-02T06:09:43.081785,8,241,269
2025-09-02T06:09:45.413336,8,241,269
2025-09-02T06:09:47.684788,8,241,269
2025-09-02T06:09:49.929851,8,241,269
2025-09-02T06:09:52.238200,8,241,269
2025-09-02T06:09:54.485788,8,241,269
2025-09-02T06:09:56.744251,8,241,269
2025-09-02T06:09:58.981781,8,257,267
2025-09-02T06:10:01.240039,8,257,267
2025-09-02T06:10:03.488226,8,257,267
2025-09-02T06:10:05.705802,8,257,267
2025-09-02T06:10:07.969545,8,257,267
2025-09-02T06:10:10.421848,8,257,267
2025-09-02T06:10:12.665789,8,257,267
2025-09-02T06:10:14.903507,8,266,268
2025-09-02T06:10:17.145833,8,266,268
2025-09-02T06:10:19.393850,8,266,268
2025-09-02T06:10:21.675833,8,266,268
2025-09-02T06:10:23.942602,8,266,268
2025-09-02T06:10:26.184801,8,266,268
2025-09-02T06:10:28.425744,8,270,267
2025-09-02T06:10:30.686891,8,270,267
2025-09-02T06:10:32.931735,8,270,267
2025-09-02T06:10:35.135166,8,270,267
2025-09-02T06:10:37.421898,8,270,267
2025-09-02T06:10:39.657993,8,270,267
2025-09-02T06:10:41.896682,8,270,267
2025-09-02T06:10:44.154177,8,243,267
2025-09-02T06:10:46.429730,8,243,267
2025-09-02T06:10:48.694419,8,243,267
2025-09-02T06:10:50.980746,8,243,267
2025-09-02T06:10:53.304411,8,243,267
2025-09-02T06:10:55.545735,8,243,267
2025-09-02T06:10:57.802923,8,243,267
2025-09-02T06:11:00.067526,8,258,267
2025-09-02T06:11:02.323134,8,258,267
2025-09-02T06:11:04.564746,8,258,267
2025-09-02T06:11:06.816193,8,258,267
2025-09-02T06:11:09.045368,8,258,267
2025-09-02T06:11:11.305807,8,258,267
2025-09-02T06:11:13.550362,8,268,268
2025-09-02T06:11:15.789347,8,268,268
2025-09-02T06:11:18.077804,8,268,268
2025-09-02T06:11:20.329789,8,268,268
2025-09-02T06:11:22.674861,8,268,268
2025-09-02T06:11:24.889761,8,268,268
2025-09-02T06:11:27.138950,8,268,268
2025-09-02T06:11:29.401163,8,270,267
2025-09-02T06:11:31.621967,8,270,267
2025-09-02T06:11:33.856373,8,270,267
2025-09-02T06:11:36.073772,8,270,267
2025-09-02T06:11:38.287434,8,270,267
2025-09-02T06:11:40.509744,8,270,267
2025-09-02T06:11:42.758586,8,270,267
2025-09-02T06:11:45.023229,8,222,266
2025-09-02T06:11:47.282369,8,222,266
2025-09-02T06:11:49.567559,8,222,266
2025-09-02T06:11:51.816372,8,222,266
2025-09-02T06:11:54.126578,8,222,266
2025-09-02T06:11:56.566892,8,222,266
2025-09-02T06:11:58.852051,8,259,266
2025-09-02T06:12:01.086275,8,259,266
2025-09-02T06:12:03.345801,8,259,266
2025-09-02T06:12:05.573173,8,259,266
2025-09-02T06:12:07.821847,8,259,266
2025-09-02T06:12:10.082787,8,259,266
2025-09-02T06:12:12.351812,8,259,266
2025-09-02T06:12:14.616724,8,365,268
2025-09-02T06:12:16.864969,8,365,268
2025-09-02T06:12:19.117799,8,365,268
2025-09-02T06:12:21.356294,8,365,268
2025-09-02T06:12:23.658395,8,365,268
2025-09-02T06:12:25.953816,8,365,268
2025-09-02T06:12:28.229825,8,362,262
2025-09-02T06:12:30.511279,8,362,262
2025-09-02T06:12:32.755083,8,362,262
2025-09-02T06:12:35.024024,8,362,262
2025-09-02T06:12:37.497796,8,362,262
2025-09-02T06:12:39.766342,8,362,262
2025-09-02T06:12:42.015578,8,362,262
2025-09-02T06:12:44.233815,8,345,261
2025-09-02T06:12:46.559101,8,345,261
2025-09-02T06:12:48.828631,8,345,261
2025-09-02T06:12:51.087077,8,345,261
2025-09-02T06:12:53.350692,8,345,261
2025-09-02T06:12:55.592962,8,345,261
2025-09-02T06:12:57.855049,8,345,261
2025-09-02T06:13:00.132594,8,310,261
2025-09-02T06:13:02.385803,8,310,261
2025-09-02T06:13:04.659086,8,310,261
2025-09-02T06:13:06.903821,8,310,261
2025-09-02T06:13:09.172013,8,310,261
2025-09-02T06:13:11.417280,8,310,261
2025-09-02T06:13:13.665224,8,338,260
2025-09-02T06:13:15.897762,8,338,260
2025-09-02T06:13:18.135829,8,338,260
2025-09-02T06:13:20.387921,8,338,260
2025-09-02T06:13:22.680793,8,338,260
2025-09-02T06:13:24.937531,8,338,260
2025-09-02T06:13:27.225977,8,338,260
2025-09-02T06:13:29.503758,8,355,260
2025-09-02T06:13:31.750066,8,355,260
2025-09-02T06:13:34.091979,8,355,260
2025-09-02T06:13:36.353843,8,355,260
2025-09-02T06:13:38.637846,8,355,260
2025-09-02T06:13:40.877784,8,355,260
2025-09-02T06:13:43.181788,8,349,261
2025-09-02T06:13:45.425802,8,349,261
2025-09-02T06:13:47.684314,8,349,261
2025-09-02T06:13:49.921947,8,349,261
2025-09-02T06:13:52.218690,8,349,261
2025-09-02T06:13:54.473829,8,349,261
2025-09-02T06:13:56.718575,8,349,261
2025-09-02T06:13:59.006590,8,291,260
2025-09-02T06:14:01.253938,8,291,260
2025-09-02T06:14:03.506543,8,291,260
2025-09-02T06:14:05.761780,8,291,260
2025-09-02T06:14:08.028049,8,291,260
2025-09-02T06:14:10.257795,8,291,260
2025-09-02T06:14:12.531023,8,291,260
2025-09-02T06:14:14.786134,8,341,261
2025-09-02T06:14:17.029844,8,341,261
2025-09-02T06:14:19.317058,8,341,261
2025-09-02T06:14:21.580524,8,341,261
2025-09-02T06:14:23.843586,8,341,261
2025-09-02T06:14:26.073028,8,341,261
2025-09-02T06:14:28.321745,8,340,262
2025-09-02T06:14:30.565131,8,340,262
2025-09-02T06:14:32.867844,8,340,262
2025-09-02T06:14:35.106934,8,340,262
2025-09-02T06:14:37.353751,8,340,262
2025-09-02T06:14:39.601747,8,340,262
2025-09-02T06:14:41.829119,8,340,262
2025-09-02T06:14:44.143619,8,333,262
2025-09-02T06:14:46.411819,8,333,262
2025-09-02T06:14:48.637553,8,333,262
2025-09-02T06:14:50.840277,8,333,262
2025-09-02T06:14:53.093865,8,333,262
2025-09-02T06:14:55.357792,8,333,262
2025-09-02T06:14:57.618926,8,333,262
2025-09-02T06:14:59.953152,8,248,262
